Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,0.01,0.066,0.009,0.009,0.009,4.441,6.208,7.411,2.356,1.177,0.765,0.958
1981,1.071,0.009,0.26,0.009,0.551,1.07,7.971,6.627,8.05,4.06,0.928,0.183
1982,0.015,0.009,0.009,0.009,0.36,1.133,4.353,5.09,4.702,3.862,0.735,0.015
1983,0.01,0.401,0.065,0.009,0.009,2.496,7.036,6.891,5.208,4.548,0.704,0.372
1984,0.289,2.231,0.147,0.498,0.009,2.108,5.875,3.294,4.866,1.743,0.742,0.635
1985,0.603,0.039,0.069,0.416,0.009,0.266,5.236,4.042,2.328,4.033,0.463,0.598
1986,1.242,0.251,0.009,0.009,0.519,2.294,1.88,3.308,4.01,1.962,2.491,0.75
1987,0.925,0.009,0.009,0.009,0.01,2.49,1.968,4.246,2.713,3.558,3.285,0.786
1988,0.015,0.009,0.014,0.709,0.009,1.044,6.373,6.689,8.293,1.246,0.244,0.365
1989,0.009,0.009,0.562,0.009,0.009,0.275,5.897,4.423,4.841,1.341,0.618,1.18
1990,0.136,0.009,0.185,0.123,1.195,0.741,3.178,5.219,5.042,2.748,0.697,0.311
1991,0.136,0.06,0.009,0.498,0.009,3.205,2.918,4.276,4.089,3.053,3.212,0.474
1992,0.056,0.009,0.009,0.015,0.009,0.191,3.516,5.591,3.355,4.445,3.079,0.009
1993,0.01,0.079,0.169,0.009,0.009,0.783,2.181,2.707,3.484,3.352,0.326,0.361
1994,0.369,1.316,0.009,0.056,0.009,1.452,3.702,2.805,3.546,4.119,1.769,0.009
1995,0.645,0.164,0.018,0.009,0.049,0.557,3.75,5.181,4.079,6.585,1.205,0.009
1996,0.009,0.583,0.009,0.319,0.009,1.389,3.038,6.196,6.361,4.561,0.221,0.24
1997,0.911,0.009,0.109,1.587,0.403,1.372,6.425,4.046,8.066,1.684,2.26,0.698
1998,0.149,0.365,0.223,0.018,0.939,1.083,5.745,6.442,6.245,6.913,1.765,0.009
1999,0.009,0.009,0.009,0.009,0.308,0.43,5.004,3.619,2.203,2.169,0.123,0.009
2000,0.009,1.663,0.009,0.009,0.301,1.171,4.055,5.843,5.706,2.379,0.684,0.145
2001,0.45,0.009,0.145,1.367,0.009,0.709,4.482,3.711,4.77,5.709,1.893,0.009
2002,0.075,0.114,0.106,0.009,0.009,1.426,1.536,2.773,1.356,5.004,0.634,0.009
2003,0.03,0.009,0.701,0.064,0.009,0.807,7.956,5.486,3.941,4.782,0.164,0.013
2004,1.554,0.033,0.515,0.574,0.554,1.35,5.098,2.76,4.288,3.375,0.564,0.009
2005,2.099,1.326,0.942,0.071,1.771,1.961,5.14,5.264,6.019,5.887,0.418,0.867
2006,0.009,0.009,1.635,0.277,0.395,4.723,3.797,3.678,5.327,2.954,1.583,0.009
2007,0.009,0.402,0.009,0.281,0.009,3.943,4.187,3.849,6.715,2.265,0.189,0.471
2008,0.017,1.513,1.49,0.897,0.009,0.637,3.452,5.401,3.139,3.799,1.993,0.009
2009,0.009,0.018,0.044,0.009,0.019,0.431,2.536,4.273,3.781,2.675,1.3,0.0
2010,0.567,0.614,0.063,0.84,0.251,0.439,5.122,8.235,4.876,4.198,4.305,1.035
2011,0.053,1.633,0.0,1.64,0.261,0.681,2.909,5.857,5.149,2.094,0.0,0.432
2012,0.099,0.009,0.009,0.009,0.009,0.295,2.215,3.606,3.515,0.909,3.465,0.046
2013,0.142,0.459,0.302,1.874,0.0,2.103,5.022,3.966,3.857,4.998,0.244,0.0
2014,0.0,0.156,1.324,0.006,0.132,0.063,1.389,3.06,0.977,1.345,0.033,0.088
2015,0.501,0.417,2.244,2.512,0.649,2.068,2.379,5.523,4.555,1.227,0.333,0.002
2016,0.001,0.103,1.754,0.102,0.791,2.75,4.296,2.022,3.943,0.597,0.0,0.179
2017,0.0,0.0,0.792,0.0,0.327,1.27,2.339,4.206,5.324,3.184,0.702,0.011
2018,0.0,0.0,0.036,0.0,0.041,1.518,2.978,2.699,4.69,1.121,0.307,0.102
2019,1.159,0.294,0.157,0.0,0.0,1.033,5.043,7.315,10.251,6.014,1.056,0.288
2020,0.712,1.355,2.989,0.841,0.128,4.72,9.653,6.127,8.289,6.006,4.185,0.0
2021,0.426,0.029,0.0,1.076,0.605,4.383,6.982,6.071,6.718,4.571,2.498,0.007
2022,1.086,0.0,0.0,0.0,0.043,1.39,6.265,6.198,5.991,5.911,0.02,1.351
2023,0.008,0.0,2.823,1.315,2.304,0.532,5.17,3.206,7.588,0.492,0.688,2.55
