Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,0.025,0.035,0.382,0.009,0.009,0.92,3.943,3.779,1.304,0.009,0.009,0.304
1981,0.21,0.022,0.264,0.009,0.009,0.078,5.117,4.132,3.336,0.186,0.91,0.009
1982,0.469,0.019,0.378,0.921,0.092,0.009,2.907,4.387,0.18,0.978,0.012,0.636
1983,1.282,0.014,0.116,1.866,0.188,0.546,5.841,5.598,5.132,0.079,0.009,0.317
1984,0.511,0.815,0.061,0.009,0.009,0.009,6.777,9.1,3.16,0.016,0.009,0.158
1985,0.018,0.009,0.009,0.017,0.009,0.009,9.365,2.863,2.246,1.569,0.009,0.02
1986,0.389,1.502,0.031,0.009,0.023,0.776,3.845,4.091,0.499,0.822,0.009,0.019
1987,0.499,0.009,0.031,0.009,0.279,0.009,1.069,2.768,2.034,0.863,0.009,0.009
1988,0.009,0.175,0.52,0.009,0.009,0.009,4.486,5.246,4.66,0.056,0.009,0.039
1989,0.15,0.009,0.176,0.01,0.009,0.009,3.213,3.008,1.668,0.02,0.009,0.009
1990,0.009,0.52,0.329,0.013,0.009,0.009,6.712,6.595,2.539,0.105,0.009,0.023
1991,0.009,0.193,0.07,0.289,0.009,0.404,0.059,3.016,2.994,0.01,0.158,0.104
1992,0.188,0.249,0.009,0.009,0.009,0.009,5.154,4.3,1.035,0.076,0.795,0.01
1993,0.029,0.512,0.016,0.032,0.009,0.057,3.688,0.841,3.55,0.009,0.009,0.009
1994,1.472,0.578,0.009,0.276,0.009,0.173,3.442,6.434,2.717,0.011,0.009,0.009
1995,0.956,0.009,0.009,0.014,0.009,0.009,1.987,5.911,3.771,0.009,0.009,0.009
1996,0.321,1.324,0.114,0.009,0.009,0.067,1.536,3.835,3.583,0.212,0.009,0.009
1997,0.504,0.009,0.009,1.055,0.009,0.009,3.518,7.636,1.614,1.761,0.044,1.49
1998,0.009,0.211,0.538,0.009,0.009,0.177,7.2,4.066,2.962,1.7,0.06,0.009
1999,0.009,0.017,0.009,0.009,0.056,0.016,0.761,4.416,2.12,0.734,0.009,0.009
2000,0.009,0.547,0.075,0.009,0.009,0.612,1.918,1.959,1.765,0.027,0.009,0.687
2001,0.494,0.027,0.025,0.174,1.181,0.354,3.243,1.093,1.201,0.741,0.014,0.009
2002,0.224,0.079,0.407,0.009,0.009,0.009,0.537,2.605,2.188,0.648,0.79,0.009
2003,0.099,1.468,0.078,0.133,0.009,0.303,5.551,4.733,1.93,0.012,0.009,0.203
2004,0.928,0.009,0.009,0.039,0.009,0.009,0.141,3.147,3.144,2.185,0.009,0.159
2005,0.009,0.26,1.375,0.034,0.541,1.855,8.122,5.937,3.205,0.17,0.009,0.026
2006,0.009,0.018,1.358,0.009,0.043,0.845,5.612,5.695,3.599,0.875,0.189,0.289
2007,0.009,2.408,0.694,0.314,0.009,0.434,1.773,2.908,2.834,0.149,0.009,0.009
2008,0.418,0.009,0.029,1.577,0.009,0.009,1.13,4.828,2.678,0.285,0.009,0.009
2009,0.009,0.009,0.024,0.009,0.098,0.009,3.635,5.647,2.381,0.244,0.285,0.0
2010,0.036,0.657,0.031,0.0,0.016,0.037,3.133,3.943,4.019,0.935,0.001,0.057
2011,0.0,1.339,0.0,0.0,0.025,0.032,2.712,9.398,3.227,0.105,0.0,0.08
2012,0.026,0.009,0.049,0.086,0.009,0.009,0.846,3.027,2.928,0.003,0.0,0.006
2013,0.914,3.288,0.0,0.0,0.0,0.519,0.082,1.671,0.381,0.119,0.025,0.0
2014,1.821,0.345,0.363,0.133,0.121,0.008,0.013,1.625,2.172,0.0,0.0,0.681
2015,0.005,0.272,1.603,0.488,0.0,0.0,1.284,1.995,0.716,0.063,0.0,0.0
2016,0.0,0.15,0.314,0.105,0.0,0.0,2.269,1.787,2.683,0.1,0.0,0.0
2017,0.736,0.0,0.024,0.68,0.004,0.163,2.239,2.433,3.058,0.002,0.434,0.206
2018,0.008,0.076,0.082,0.0,0.0,1.064,0.475,0.555,4.955,0.111,0.001,0.0
2019,1.031,0.185,0.0,0.917,0.055,0.0,2.044,4.325,3.546,0.606,0.166,0.663
2020,0.498,0.088,0.313,0.379,0.022,0.0,5.627,4.935,1.32,0.0,0.114,0.0
2021,1.212,0.008,0.153,0.495,0.08,0.0,2.34,0.057,1.07,0.92,0.0,0.0
2022,1.001,0.127,0.003,0.0,0.085,0.783,4.608,4.142,4.074,2.201,0.0,0.0
2023,0.73,0.0,0.183,0.155,1.037,1.234,7.023,3.021,3.352,0.151,0.766,0.0
