Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,0.009,0.009,0.009,0.009,0.009,12.213,12.698,11.523,1.34,0.127,0.171,0.656
1981,0.434,0.009,0.009,0.009,0.009,2.729,16.929,12.254,6.914,2.742,1.624,0.506
1982,0.272,0.009,0.009,0.009,0.019,5.153,12.034,13.652,2.278,4.513,1.206,0.009
1983,0.051,0.009,0.011,0.08,0.009,4.794,10.943,11.909,7.435,1.85,0.04,0.023
1984,0.115,0.009,0.009,0.009,0.009,8.475,12.299,10.439,3.584,1.462,0.012,0.009
1985,0.009,0.009,0.009,0.149,0.771,5.021,14.903,8.258,2.437,2.004,0.009,0.438
1986,0.066,0.009,0.009,0.009,0.056,6.08,8.55,7.329,2.09,0.66,0.236,0.877
1987,0.021,0.223,0.009,0.009,0.009,5.041,10.938,9.494,2.955,2.46,2.279,0.495
1988,0.009,0.009,0.009,0.009,0.009,5.323,16.561,10.04,8.308,0.665,0.035,0.009
1989,0.009,0.009,0.053,0.009,0.01,9.131,10.794,6.923,2.446,0.8,0.009,0.009
1990,0.014,0.009,0.043,0.009,0.258,8.081,12.622,10.118,4.971,1.708,0.031,0.009
1991,0.009,0.009,0.009,0.009,0.009,3.619,13.76,10.307,1.078,0.009,0.035,0.009
1992,0.009,0.009,0.009,0.009,0.009,1.87,9.498,10.319,2.489,2.036,0.06,0.009
1993,0.009,0.009,0.009,0.009,0.009,6.013,9.5,8.191,5.941,1.874,0.009,0.239
1994,0.009,0.009,0.009,0.009,0.031,9.679,17.286,7.875,4.006,0.473,1.066,0.009
1995,0.304,0.015,0.009,0.009,0.063,2.332,15.03,6.45,3.361,2.125,0.018,0.009
1996,0.009,0.009,0.009,0.009,0.368,6.095,10.392,7.153,1.782,2.897,0.009,0.009
1997,0.009,0.009,0.009,0.033,0.009,9.32,15.446,11.444,2.744,1.093,0.299,0.659
1998,0.009,0.009,0.009,0.009,0.009,3.354,14.003,9.332,5.03,3.676,0.405,0.009
1999,0.009,0.009,0.009,0.009,0.152,5.446,13.117,8.449,2.675,1.831,0.009,0.009
2000,0.01,0.01,0.009,0.009,0.997,4.334,11.243,7.846,3.393,2.164,0.009,0.009
2001,0.009,0.009,0.009,0.009,0.934,7.405,14.138,6.106,2.702,2.893,0.259,0.009
2002,0.009,0.015,0.009,0.009,0.042,5.621,10.512,10.525,2.561,0.295,0.36,0.009
2003,0.009,0.009,0.009,0.01,0.02,6.225,16.176,10.365,4.435,0.584,0.009,0.009
2004,0.009,0.009,0.009,0.009,0.011,8.611,12.515,11.859,3.617,2.452,0.046,0.009
2005,0.009,0.076,0.052,0.009,0.009,6.733,14.073,11.43,7.966,1.512,0.009,0.009
2006,0.009,0.009,0.264,0.009,0.009,5.5,16.969,9.256,4.917,1.36,0.124,0.009
2007,0.009,0.009,0.009,0.009,0.009,8.434,13.997,11.726,6.757,0.037,0.629,0.009
2008,0.009,0.009,0.009,0.752,0.009,10.655,13.117,9.352,5.189,1.085,0.91,0.146
2009,0.026,0.009,0.009,0.009,0.009,2.386,16.16,10.331,2.659,1.23,0.823,0.0
2010,0.0,0.0,0.617,0.0,0.0,3.29,13.946,11.869,6.872,2.055,2.782,0.349
2011,0.0,0.005,0.0,0.0,0.029,9.288,12.603,14.213,9.321,1.259,0.0,0.002
2012,0.009,0.009,0.009,0.009,0.009,5.4,12.825,11.534,7.872,3.322,0.081,0.0
2013,0.0,0.037,0.0,0.0,0.0,13.267,16.449,9.153,6.264,1.512,0.0,0.0
2014,0.001,0.046,0.747,0.0,0.001,4.554,11.959,7.875,5.089,1.394,0.001,0.141
2015,0.032,0.0,0.176,1.194,0.0,7.011,12.195,9.893,2.199,0.727,0.001,0.0
2016,0.0,0.0,0.116,0.001,0.0,4.903,15.075,10.597,3.468,0.907,0.0,0.0
2017,0.0,0.002,0.001,0.0,0.059,10.695,17.282,7.533,2.701,1.09,0.048,0.628
2018,0.0,0.0,0.0,0.0,0.006,6.564,14.918,11.854,1.607,0.002,0.073,0.001
2019,0.0,0.0,0.0,0.088,0.003,4.286,15.073,14.024,10.983,2.644,1.186,0.001
2020,0.116,0.001,0.0,0.0,0.0,6.616,14.827,17.881,4.241,2.676,0.012,0.005
2021,0.06,0.043,0.0,0.0,2.455,6.408,11.789,4.448,6.574,0.982,0.394,0.036
2022,0.0,0.0,0.0,0.001,0.209,4.362,19.294,13.616,4.896,0.424,0.0,0.0
2023,0.0,0.0,0.082,0.045,0.0,9.955,17.663,5.992,4.195,0.144,1.547,0.008
