Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,0.416,0.309,0.009,0.009,0.009,6.877,9.057,8.76,4.598,1.262,0.009,0.569
1981,0.14,0.009,0.009,0.009,0.009,0.937,10.675,10.066,7.082,0.441,0.01,0.175
1982,2.867,0.487,0.009,0.009,0.009,1.157,6.988,9.729,4.094,3.054,0.259,0.548
1983,0.149,1.459,0.043,0.009,0.009,4.637,10.06,10.913,8.557,2.096,0.01,0.466
1984,2.522,2.895,0.009,0.009,0.009,3.753,8.324,9.949,3.436,0.095,0.009,0.605
1985,3.663,0.288,0.021,0.189,0.009,0.382,8.009,8.087,4.67,2.516,0.009,0.009
1986,0.774,4.662,0.009,0.009,0.132,2.388,7.197,8.905,3.588,1.758,0.122,2.671
1987,0.99,2.674,0.009,0.009,0.009,0.88,2.574,10.572,5.705,3.548,1.038,0.289
1988,0.009,0.07,0.223,0.149,0.009,1.273,9.741,9.427,6.555,1.633,0.213,0.009
1989,0.009,0.009,0.852,0.009,0.009,1.341,11.391,9.803,3.93,0.683,0.308,0.713
1990,0.009,0.012,0.015,0.009,0.258,0.713,7.166,11.137,7.626,1.81,0.009,0.087
1991,0.376,0.009,0.32,0.009,0.009,5.329,11.306,6.584,2.554,0.351,0.652,0.009
1992,0.009,0.009,0.009,0.009,0.009,0.701,5.377,9.377,3.409,1.214,0.183,0.009
1993,0.009,0.514,0.735,0.009,0.055,3.657,7.486,6.98,7.593,1.148,0.009,0.009
1994,0.54,0.015,0.009,0.009,0.009,3.225,11.025,10.304,5.989,1.326,0.038,0.009
1995,0.825,0.009,0.009,0.009,0.009,0.165,8.417,7.819,3.94,1.674,0.051,0.246
1996,1.304,0.493,0.197,0.009,0.009,0.562,7.571,10.201,4.136,1.934,0.009,0.009
1997,0.604,0.009,0.009,0.454,0.009,3.211,10.401,7.99,4.308,3.766,2.908,4.066
1998,2.089,0.372,2.127,0.009,0.009,1.255,8.022,9.6,7.697,3.043,0.514,0.009
1999,0.009,0.117,0.009,0.009,0.048,2.633,9.282,7.096,6.532,1.657,0.012,0.009
2000,0.009,0.172,0.009,0.009,0.009,1.233,8.554,8.715,3.628,0.245,0.009,0.104
2001,0.204,0.016,1.778,0.785,0.009,3.522,8.117,8.231,2.884,3.468,0.009,0.009
2002,0.109,0.049,0.009,0.009,0.009,2.177,5.032,10.7,4.348,0.73,0.023,0.009
2003,0.009,0.892,0.646,0.009,0.009,4.423,11.201,8.046,5.948,1.816,0.237,0.6
2004,0.202,0.009,0.009,0.009,0.019,2.434,10.36,11.038,4.951,1.696,0.103,0.009
2005,2.02,2.362,2.322,0.009,0.009,3.695,12.292,7.187,7.953,2.064,0.009,1.163
2006,0.009,0.009,4.624,0.42,0.766,2.491,11.683,10.954,5.171,2.443,0.269,0.009
2007,0.009,0.318,0.056,0.009,0.009,7.17,8.273,8.155,7.161,0.009,0.037,0.061
2008,0.138,0.97,1.216,1.16,0.009,4.086,8.413,10.232,6.015,1.446,0.333,0.009
2009,0.254,0.106,0.009,0.009,0.03,0.24,12.215,8.367,3.891,2.473,1.94,0.011
2010,0.066,0.357,0.0,0.0,0.0,1.432,11.904,10.876,5.668,1.529,0.843,0.725
2011,0.0,0.386,0.0,0.704,0.0,1.866,10.906,11.621,6.811,0.564,0.0,0.14
2012,1.026,0.032,0.009,0.009,0.009,0.558,7.482,10.614,6.862,0.742,0.578,0.036
2013,0.666,0.576,3.86,0.022,0.0,5.399,15.704,11.556,5.785,5.088,0.0,0.0
2014,0.349,1.152,1.383,0.0,0.0,0.013,4.957,5.964,5.85,0.613,0.0,0.736
2015,0.472,0.057,0.591,1.879,0.0,4.776,5.567,7.072,2.399,0.318,0.0,0.0
2016,0.023,0.019,0.445,0.0,0.0,5.887,9.203,6.382,6.125,1.895,0.0,0.0
2017,0.0,0.01,0.0,0.0,0.059,2.19,9.383,9.113,5.71,2.573,0.001,0.0
2018,0.0,0.146,0.015,0.043,0.141,4.993,9.55,7.885,3.503,0.154,0.158,0.191
2019,0.86,0.021,0.452,0.193,0.0,2.262,9.229,9.316,9.334,2.54,0.105,0.889
2020,1.974,0.778,0.878,0.0,0.0,3.273,9.253,8.791,4.136,1.063,0.03,0.137
2021,0.004,0.128,0.038,0.0,0.05,0.773,7.429,5.548,10.439,1.088,0.082,0.111
2022,1.194,0.0,0.0,0.0,0.008,2.353,13.961,10.641,4.986,2.548,0.0,0.18
2023,0.019,0.0,0.578,1.676,0.611,2.365,11.351,3.039,6.43,0.072,0.071,0.034
