Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,0.198,0.597,0.009,0.009,0.02,9.518,11.72,11.34,6.168,1.71,0.009,0.138
1981,0.545,0.009,0.183,0.009,0.009,1.557,12.354,12.74,8.607,0.276,0.009,0.139
1982,1.271,0.611,0.009,0.009,0.05,1.614,7.982,11.762,4.547,3.119,0.4,0.383
1983,0.033,3.81,0.013,0.009,0.029,4.176,11.115,12.79,10.661,2.322,0.009,0.461
1984,1.385,3.073,0.009,0.009,0.009,4.314,12.846,11.55,4.849,0.12,0.009,0.093
1985,2.413,0.181,0.009,1.524,0.009,0.854,10.478,10.844,6.528,2.557,0.009,0.009
1986,0.617,4.088,0.05,0.009,0.161,2.754,11.129,10.028,4.567,2.41,0.813,3.12
1987,0.538,1.303,0.009,0.009,0.048,1.476,4.682,12.752,7.452,3.811,2.27,0.039
1988,0.009,0.434,0.087,0.009,0.009,2.208,12.955,11.539,6.277,1.987,0.675,0.009
1989,0.009,0.009,0.61,0.009,0.009,1.836,13.304,13.708,5.865,1.165,0.429,1.104
1990,0.009,0.171,0.009,0.04,0.155,0.955,9.633,13.012,9.555,2.353,0.071,0.047
1991,0.647,0.166,0.071,0.009,0.009,4.295,12.682,9.999,3.516,0.753,0.013,0.079
1992,0.009,0.009,0.009,0.031,0.009,1.553,8.58,11.32,5.08,0.745,0.132,0.009
1993,0.009,0.494,0.609,0.025,0.15,4.736,10.62,8.737,9.255,1.85,0.01,0.009
1994,0.176,0.131,0.009,0.009,0.009,4.434,13.975,13.78,7.055,1.828,0.04,0.009
1995,0.835,0.009,0.157,0.009,0.105,0.422,9.984,10.433,5.453,2.217,0.456,0.054
1996,1.472,0.885,0.181,0.016,0.009,1.094,9.946,11.422,4.887,1.782,0.009,0.009
1997,0.119,0.009,0.009,0.823,0.009,2.776,12.686,10.556,5.421,3.906,1.325,1.901
1998,2.189,0.151,2.138,0.009,0.009,1.367,8.555,10.716,8.977,3.258,1.563,0.009
1999,0.009,0.049,0.009,0.009,0.058,2.636,10.918,10.829,10.888,2.348,0.018,0.025
2000,0.009,0.643,0.009,0.009,0.009,1.153,11.314,9.421,5.132,0.184,0.009,0.009
2001,0.118,0.084,1.624,1.83,0.112,7.331,11.108,9.941,3.684,2.932,0.016,0.009
2002,0.567,0.01,0.04,0.009,0.009,3.263,6.177,14.159,5.821,0.77,0.024,0.009
2003,0.009,1.443,1.092,0.009,0.009,4.95,13.567,10.982,8.196,3.705,0.115,0.339
2004,1.35,0.009,0.009,0.009,0.009,5.602,14.1,14.302,6.635,1.795,0.009,0.009
2005,1.522,2.282,0.761,0.009,0.009,4.904,14.881,8.462,9.843,2.266,0.009,0.276
2006,0.009,0.009,1.385,1.035,0.163,2.135,13.257,15.172,5.955,1.762,0.213,0.009
2007,0.009,1.358,0.414,0.009,0.009,7.167,7.242,10.695,7.819,0.51,0.072,0.009
2008,0.477,2.825,0.712,2.154,0.009,7.498,10.848,11.978,6.125,1.564,0.057,0.009
2009,0.146,0.025,0.009,0.009,0.047,0.328,14.901,10.15,5.884,2.091,1.588,0.003
2010,0.104,0.619,0.0,0.0,0.0,2.179,13.8,13.362,8.544,2.07,0.207,0.931
2011,0.0,0.056,0.021,0.975,0.039,3.079,13.575,13.313,8.567,0.584,0.0,0.015
2012,0.528,0.273,0.009,0.009,0.024,1.169,12.47,13.697,9.288,1.249,1.069,0.416
2013,0.279,1.127,2.644,0.557,0.0,6.181,15.552,12.798,6.38,5.467,0.0,0.0
2014,0.406,0.75,0.436,0.0,0.0,0.0,6.299,7.525,6.701,2.421,0.0,0.585
2015,0.809,0.0,0.13,0.723,0.0,5.476,8.328,9.149,3.651,0.469,0.001,0.0
2016,0.135,0.344,1.193,0.009,0.054,6.686,13.487,8.415,7.507,2.256,0.0,0.0
2017,0.0,0.0,0.0,0.0,0.0,2.934,11.773,12.62,5.683,2.625,0.011,0.0
2018,0.0,0.0,0.017,0.016,0.059,2.947,12.362,10.037,4.839,0.649,0.226,1.224
2019,0.385,0.268,1.131,0.035,0.0,2.444,12.247,12.371,10.954,3.197,0.0,0.38
2020,1.265,0.572,2.719,0.13,0.0,2.491,9.421,10.739,5.812,1.926,0.001,0.011
2021,0.001,0.004,0.0,0.0,0.183,2.479,8.722,6.775,11.964,1.707,0.009,0.223
2022,0.93,0.0,0.0,0.0,0.0,5.35,16.776,14.044,6.766,1.807,0.0,0.003
2023,0.037,0.0,0.394,0.798,0.0,3.342,13.897,6.128,8.937,0.207,0.002,1.952
