Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,0.085,0.087,0.179,0.009,0.89,10.612,9.91,9.661,3.851,5.009,2.725,4.703
1981,1.893,0.071,1.405,0.306,1.968,1.737,8.454,12.074,6.824,2.262,1.814,1.795
1982,0.348,0.159,0.037,0.16,0.401,0.715,9.228,10.331,3.685,5.479,1.262,0.037
1983,0.367,5.629,0.365,0.701,1.265,6.35,8.311,6.801,5.785,3.919,3.434,0.499
1984,0.321,2.472,0.357,0.722,0.015,4.834,9.867,8.324,3.069,1.347,2.448,2.742
1985,0.385,0.179,1.008,0.066,0.165,0.308,4.972,6.67,3.97,4.43,2.453,0.1
1986,1.633,0.267,0.033,0.343,0.358,2.188,5.32,7.945,3.727,4.232,2.598,1.636
1987,1.18,0.076,1.168,0.988,1.008,3.619,2.551,6.001,3.009,4.753,7.121,2.537
1988,0.009,0.08,0.726,0.595,1.438,3.018,9.607,7.493,7.569,2.491,3.633,0.801
1989,0.014,0.009,0.38,0.009,0.091,3.506,11.098,6.693,3.652,2.689,1.689,0.431
1990,0.009,3.815,5.561,1.066,7.089,1.42,5.57,7.787,6.198,5.389,3.739,2.138
1991,0.805,0.223,0.034,0.219,0.192,7.46,7.214,7.801,7.108,7.014,5.316,0.497
1992,0.113,1.068,0.009,0.011,0.483,0.992,10.19,6.901,6.028,3.555,7.595,0.053
1993,0.029,0.165,0.853,0.37,0.178,1.923,8.891,7.031,6.536,4.628,2.107,0.279
1994,0.355,0.383,0.009,0.281,1.401,2.939,7.99,4.521,4.702,5.477,6.185,0.015
1995,0.707,0.391,0.256,0.029,3.414,1.192,7.27,7.902,3.901,7.55,6.242,0.037
1996,0.162,0.797,0.06,0.764,0.218,4.032,7.304,7.442,4.889,9.254,1.3,1.576
1997,0.53,0.083,0.889,2.314,0.197,2.997,8.5,5.036,7.697,3.747,6.788,2.254
1998,0.378,1.411,1.316,1.92,0.281,2.271,9.166,8.74,6.648,8.577,5.898,0.01
1999,0.327,0.009,0.009,0.011,1.324,2.017,6.675,5.708,3.858,5.344,1.157,0.388
2000,0.01,1.358,0.016,0.142,0.927,5.744,4.918,7.593,4.184,4.134,2.507,0.697
2001,0.023,0.054,0.59,1.466,0.38,3.881,5.65,5.925,5.414,7.361,6.089,0.065
2002,0.116,0.009,0.133,0.808,0.217,2.227,1.896,5.437,2.917,4.794,2.709,0.009
2003,0.009,0.009,0.02,0.266,0.207,1.151,7.509,4.991,2.255,6.063,0.607,3.18
2004,0.13,0.012,0.106,0.772,1.229,5.27,8.42,6.821,3.93,4.14,0.64,0.009
2005,0.038,0.116,0.46,0.558,0.847,3.829,7.295,3.881,9.211,7.182,2.974,3.697
2006,0.011,0.009,0.388,0.689,2.228,6.34,7.434,7.487,7.481,4.195,4.154,0.011
2007,0.009,0.646,0.021,0.15,0.011,5.638,4.825,5.528,6.297,4.527,1.136,1.261
2008,0.176,0.19,0.288,0.273,0.476,2.124,8.574,6.867,3.816,3.184,4.693,0.009
2009,0.015,0.035,0.039,0.064,0.506,2.362,4.871,5.051,4.528,4.51,2.565,0.014
2010,0.148,0.283,0.801,4.942,2.93,2.538,9.463,4.977,6.972,6.551,6.682,2.507
2011,0.0,0.126,0.053,1.791,1.958,0.315,5.106,8.247,5.047,1.894,0.031,0.324
2012,0.138,0.009,0.138,0.625,0.547,0.637,4.388,3.836,5.95,2.533,3.074,0.023
2013,0.001,0.0,0.0,1.978,0.608,4.229,6.098,3.633,2.29,7.374,1.098,0.725
2014,0.0,0.22,0.0,0.084,1.606,0.377,2.852,3.757,3.588,0.693,0.231,0.792
2015,0.077,0.0,0.0,2.573,0.651,4.167,4.183,2.715,3.025,1.615,1.901,0.008
2016,0.002,0.0,0.036,0.207,0.778,3.048,3.623,3.581,6.231,3.03,0.96,1.164
2017,0.0,0.0,0.996,0.031,0.778,3.915,4.22,4.3,4.9,2.702,3.331,0.282
2018,0.35,0.0,0.147,0.497,0.541,4.06,3.548,3.628,3.067,3.622,0.869,2.576
2019,0.107,0.953,0.013,0.042,0.598,2.103,5.994,6.385,5.766,4.169,0.497,0.128
2020,0.407,0.63,0.013,1.902,0.246,5.79,9.395,6.681,10.047,5.438,5.054,0.484
2021,0.079,0.006,0.0,0.371,2.248,4.562,11.336,5.449,8.402,6.399,6.404,1.136
2022,0.72,0.0,0.001,0.004,1.179,2.277,8.54,4.831,6.717,5.654,1.535,2.446
2023,0.013,0.0,2.177,1.002,0.481,1.975,9.758,4.266,4.542,1.445,2.358,8.437
