Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,0.009,0.009,0.009,0.009,0.047,6.714,10.45,10.469,4.728,1.594,0.009,0.249
1981,0.009,0.009,0.009,0.009,0.009,2.478,12.852,9.959,7.715,0.132,0.009,0.074
1982,3.329,0.301,0.121,0.111,0.009,0.046,6.336,10.453,4.075,2.405,0.357,0.13
1983,0.165,0.077,0.009,0.009,0.673,3.455,11.372,9.662,7.497,1.327,0.009,0.388
1984,0.46,0.512,0.009,0.026,0.009,2.066,9.931,10.724,4.535,0.009,0.009,0.091
1985,0.277,0.009,0.065,0.174,0.009,0.274,9.39,9.878,5.742,2.851,0.009,0.01
1986,0.322,1.81,0.233,0.009,0.558,2.824,9.25,7.84,3.253,0.831,0.009,0.814
1987,0.756,0.421,0.013,0.009,0.147,0.34,3.754,12.614,7.133,2.14,0.009,0.194
1988,0.009,0.009,0.031,0.009,0.009,0.099,8.999,9.964,6.073,1.849,0.083,0.009
1989,0.009,0.009,1.233,0.009,0.009,1.06,9.751,11.073,4.116,0.168,0.012,0.056
1990,0.009,0.094,0.009,0.009,0.078,0.148,9.66,10.913,8.796,0.46,0.009,0.405
1991,0.121,0.009,0.016,0.009,0.009,2.583,9.87,10.527,2.65,0.009,0.487,0.009
1992,0.009,0.009,0.029,0.009,0.041,1.021,7.794,10.434,3.5,1.071,0.308,0.009
1993,0.009,0.936,0.428,0.009,0.191,3.802,8.112,7.646,9.752,1.003,0.009,0.009
1994,0.112,0.488,0.009,0.009,0.009,4.179,12.516,12.031,5.347,0.236,0.009,0.009
1995,0.414,0.009,0.053,0.049,0.009,0.081,8.452,10.678,4.927,0.59,0.123,0.378
1996,1.304,0.799,0.09,0.009,0.031,0.285,8.148,12.427,4.654,2.485,0.009,0.009
1997,0.009,0.009,0.009,0.01,0.088,2.811,9.675,9.903,4.506,4.37,1.497,2.735
1998,0.103,0.009,0.87,0.021,0.009,1.179,8.005,10.457,9.072,2.505,0.214,0.009
1999,0.021,0.072,0.009,0.04,0.019,1.462,10.294,9.391,7.914,1.983,0.009,0.009
2000,0.009,0.009,0.009,0.009,0.009,0.691,10.679,8.317,4.474,0.105,0.009,0.019
2001,0.042,0.106,0.424,1.298,0.262,5.619,11.347,6.736,2.771,3.031,0.111,0.009
2002,0.009,0.416,0.009,0.009,0.009,3.883,4.548,13.086,5.042,0.695,0.022,0.009
2003,0.009,0.699,0.081,0.009,0.019,5.082,12.59,9.663,6.746,0.468,0.009,0.573
2004,0.055,0.009,0.009,0.123,0.021,2.939,7.941,10.777,4.002,1.943,0.009,0.009
2005,0.733,0.139,2.043,0.024,0.044,3.815,14.733,6.471,10.195,0.881,0.009,0.617
2006,0.009,0.009,1.405,0.046,0.457,3.91,11.682,13.92,4.037,1.587,0.133,0.01
2007,0.009,1.14,0.289,0.05,0.04,5.959,9.202,9.266,7.047,0.009,0.009,0.059
2008,0.009,0.142,0.744,1.148,0.045,4.159,7.35,10.768,6.115,1.123,0.009,0.009
2009,0.071,0.039,0.031,0.009,0.242,0.009,11.866,7.984,6.045,2.535,2.214,0.098
2010,0.099,0.393,0.017,0.0,0.003,0.304,9.626,10.862,5.725,0.99,0.186,0.145
2011,0.0,0.293,0.0,0.37,0.004,2.851,11.641,10.805,6.647,0.474,0.0,0.176
2012,0.625,0.012,0.009,0.07,0.009,0.211,8.056,11.882,6.581,0.006,0.0,0.001
2013,0.099,1.107,0.503,0.164,0.0,3.802,12.708,10.891,6.021,5.914,0.0,0.0
2014,0.387,0.602,0.294,0.0,0.028,0.015,6.173,8.078,6.032,0.786,0.0,0.115
2015,0.36,0.014,0.89,0.642,0.0,4.647,5.335,5.987,1.48,0.799,0.024,0.0
2016,0.052,0.0,0.532,0.0,0.0,3.982,10.883,9.302,7.75,2.392,0.0,0.0
2017,0.0,0.002,0.0,0.027,0.041,2.232,12.129,9.131,6.38,0.971,0.0,0.0
2018,0.0,0.922,0.026,0.665,0.14,1.76,12.83,10.684,4.581,0.404,0.042,0.006
2019,0.288,0.067,0.121,0.548,0.008,0.606,6.804,13.777,11.984,1.464,0.0,0.824
2020,1.633,0.051,0.125,0.981,0.236,1.282,7.564,9.589,3.697,0.236,0.346,0.288
2021,0.225,0.091,0.069,0.0,0.144,2.424,6.392,8.128,11.143,1.92,0.145,0.199
2022,0.206,0.0,0.0,0.086,0.072,1.638,12.639,13.531,5.821,2.343,0.0,0.006
2023,0.01,0.0,0.0,0.091,0.24,1.915,8.32,3.584,7.51,0.043,0.238,0.001
