Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,0.779,0.081,1.044,4.47,0.616,2.028,1.702,1.852,2.647,5.96,3.96,3.538
1981,0.386,0.553,0.97,2.214,2.839,2.896,3.089,2.229,7.106,3.577,2.493,2.797
1982,0.383,0.012,0.552,2.182,4.748,0.837,0.296,1.086,2.803,4.731,3.618,3.555
1983,0.901,0.078,0.286,0.816,1.218,1.788,2.693,3.739,5.769,3.935,3.371,4.728
1984,1.646,2.436,1.816,4.36,1.622,1.771,3.036,0.091,2.443,3.959,3.987,2.714
1985,0.814,0.685,1.004,1.307,2.586,1.667,2.009,2.89,3.271,3.184,4.638,1.785
1986,3.642,0.651,0.603,2.862,1.632,0.477,0.597,1.01,1.39,4.15,3.596,2.618
1987,2.311,0.035,0.241,0.95,2.453,1.061,0.499,2.031,2.28,3.055,3.182,3.247
1988,0.708,0.174,1.227,1.808,0.605,0.78,1.816,3.712,4.419,2.216,3.171,2.848
1989,0.747,0.051,0.76,0.969,0.908,1.262,0.871,0.993,2.878,3.62,4.344,2.156
1990,0.641,0.442,0.865,1.84,2.229,1.122,1.725,1.445,1.164,2.261,3.506,3.079
1991,0.808,0.061,1.113,2.414,2.864,5.879,0.798,0.744,3.51,3.616,4.685,1.291
1992,0.581,0.187,0.038,1.737,2.034,2.782,1.142,2.918,3.666,3.697,8.208,3.162
1993,0.864,0.384,0.968,2.211,1.121,1.844,1.254,0.912,0.43,3.23,7.959,6.274
1994,1.531,1.101,0.438,1.366,2.376,1.391,1.099,2.911,2.81,4.212,4.758,0.607
1995,1.241,1.265,0.659,2.648,6.12,1.6,0.875,2.614,1.025,4.016,3.909,1.564
1996,0.692,0.997,0.555,3.45,0.522,1.934,1.693,2.222,1.97,4.521,3.735,3.741
1997,0.556,0.009,0.484,1.602,3.531,1.137,1.432,0.771,1.422,3.302,3.068,3.011
1998,0.609,0.045,0.352,0.922,2.944,1.029,1.249,5.842,3.547,4.224,4.907,4.651
1999,0.793,1.435,0.586,2.651,0.513,0.376,0.866,1.374,1.131,4.3,2.973,2.963
2000,1.483,1.636,1.065,0.999,0.895,1.089,0.987,4.081,4.458,3.729,4.605,3.135
2001,1.373,0.043,0.163,2.821,1.263,1.484,1.746,0.729,1.94,3.316,3.767,2.398
2002,0.404,1.153,0.195,0.73,0.736,0.476,0.604,0.235,1.275,4.378,3.481,1.047
2003,0.627,0.025,0.993,2.379,0.518,0.889,0.885,1.822,1.166,2.987,4.027,0.665
2004,0.234,0.012,0.722,2.017,5.472,1.607,2.864,0.515,2.949,4.568,3.089,1.522
2005,0.777,0.09,0.987,2.572,3.518,3.016,2.642,1.183,3.016,5.154,7.038,3.98
2006,1.349,0.148,1.841,0.784,1.418,1.142,0.74,2.556,5.508,3.61,2.178,2.678
2007,1.763,0.438,0.044,1.459,0.363,0.711,0.969,1.405,2.442,5.005,2.857,2.63
2008,0.469,0.401,1.707,1.699,1.145,0.485,2.24,2.132,0.953,3.427,4.217,2.868
2009,0.469,0.149,1.387,1.688,1.786,0.599,0.685,3.053,0.554,1.614,4.174,2.32
2010,0.337,0.056,0.676,2.503,5.321,2.466,2.038,2.88,1.957,4.209,8.558,5.622
2011,2.761,2.034,1.184,3.408,4.609,1.642,2.104,1.832,2.049,2.08,3.09,1.099
2012,0.539,0.158,0.606,2.029,1.135,1.785,1.414,7.698,3.303,7.125,5.75,2.525
2013,1.586,1.562,1.717,6.174,6.611,2.914,0.74,0.895,4.107,4.805,3.238,1.328
2014,1.691,0.231,0.404,5.334,3.591,1.956,1.574,5.104,4.853,4.976,4.959,2.004
2015,0.1,0.572,0.69,3.103,5.131,2.76,2.119,1.026,5.424,3.453,7.386,6.233
2016,0.433,2.184,2.166,6.079,6.879,1.336,2.004,0.548,0.149,2.214,2.707,2.63
2017,1.522,0.745,1.789,6.183,6.451,1.797,0.823,1.577,5.027,4.162,9.629,4.25
2018,0.236,0.986,2.557,7.412,11.191,4.234,0.867,0.5,4.134,6.545,8.541,3.084
2019,0.313,2.253,0.656,4.47,1.952,2.448,0.723,0.786,3.938,7.706,7.15,4.477
2020,0.851,0.933,3.158,4.558,8.048,5.01,5.479,2.012,6.669,2.375,6.413,6.647
2021,5.889,0.336,0.932,5.938,8.336,8.451,6.349,4.569,5.489,9.997,10.55,1.371
2022,1.66,1.311,1.556,4.393,3.789,1.611,1.213,2.534,3.18,6.621,3.922,2.722
2023,1.205,0.994,1.844,3.447,6.587,2.592,1.417,0.424,6.706,5.261,7.176,6.555
