Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,0.009,0.009,0.009,0.009,0.009,4.726,8.949,5.895,0.408,0.036,0.331,0.388
1981,0.054,0.009,0.009,0.009,0.009,0.919,12.551,9.174,6.271,0.537,0.356,0.239
1982,0.753,0.009,0.016,0.009,0.539,1.381,7.641,8.505,0.361,1.226,0.29,0.009
1983,0.009,0.009,0.017,0.021,0.009,0.934,7.966,9.859,4.371,1.313,0.009,0.009
1984,0.113,0.009,0.009,0.009,0.009,3.201,7.761,8.16,2.931,0.272,0.009,0.009
1985,0.009,0.009,0.009,0.009,0.072,1.614,10.191,4.835,0.325,1.467,0.009,0.312
1986,0.013,0.009,0.009,0.009,0.009,3.338,4.161,6.591,0.192,0.368,0.009,0.024
1987,0.345,0.009,0.013,0.009,0.009,1.386,7.49,6.505,0.756,1.273,0.913,0.361
1988,0.009,0.009,0.01,0.009,0.009,0.775,11.541,7.609,5.554,0.172,0.009,0.009
1989,0.009,0.009,0.009,0.009,0.009,3.055,7.13,4.771,0.674,0.013,0.009,0.009
1990,0.009,0.032,0.203,0.009,0.009,2.012,8.735,8.33,3.066,0.797,0.038,0.009
1991,0.009,0.009,0.009,0.009,0.009,0.432,6.445,5.746,0.203,0.009,0.01,0.009
1992,0.009,0.01,0.009,0.009,0.009,0.15,5.797,6.794,2.576,0.466,0.045,0.009
1993,0.009,0.009,0.009,0.009,0.009,2.15,4.875,3.312,2.128,0.435,0.009,0.009
1994,0.054,0.009,0.009,0.009,0.009,4.383,11.466,6.153,3.765,0.091,0.295,0.009
1995,0.644,0.009,0.041,0.009,0.009,0.566,9.396,4.282,1.472,1.446,0.009,0.009
1996,0.009,0.009,0.009,0.024,0.009,1.63,5.546,2.772,1.67,0.979,0.009,0.009
1997,0.009,0.009,0.009,0.476,0.009,6.397,10.992,8.124,1.623,0.719,0.427,0.46
1998,0.026,0.009,0.009,0.009,0.009,0.502,8.715,5.738,3.961,2.709,1.35,0.009
1999,0.009,0.009,0.009,0.009,0.135,1.674,7.778,5.109,1.459,1.608,0.009,0.009
2000,0.01,0.057,0.009,0.009,0.01,0.772,6.933,5.055,1.954,0.247,0.009,0.009
2001,0.009,0.009,0.009,0.009,0.076,2.632,10.65,4.306,0.674,1.219,0.009,0.009
2002,0.009,0.567,0.009,0.009,0.009,2.348,5.818,8.389,2.33,0.009,0.38,0.009
2003,0.009,0.305,0.009,0.009,0.009,3.43,11.572,8.192,3.016,0.409,0.009,0.009
2004,0.009,0.009,0.009,0.009,0.009,4.021,7.381,10.01,2.891,1.039,0.009,0.009
2005,0.009,0.009,0.009,0.009,0.009,4.206,9.503,6.89,5.607,0.128,0.009,0.009
2006,0.009,0.009,0.061,0.009,0.009,3.868,13.541,9.131,3.322,0.052,0.014,0.009
2007,0.009,0.009,0.033,0.009,0.009,6.123,10.341,10.932,5.831,0.009,0.134,0.009
2008,0.009,0.009,0.009,0.226,0.009,6.523,11.098,8.114,4.424,0.705,0.253,0.026
2009,0.013,0.009,0.052,0.009,0.009,0.648,10.794,8.36,1.747,1.562,0.372,0.0
2010,0.0,0.0,0.574,0.0,0.0,0.406,9.706,8.505,4.674,0.496,2.962,0.083
2011,0.0,0.0,0.0,0.0,0.0,1.99,8.911,14.112,6.154,0.648,0.0,0.03
2012,0.01,0.009,0.009,0.009,0.009,0.624,7.463,9.969,7.849,0.108,0.0,0.0
2013,0.0,0.026,0.0,0.0,0.0,4.804,14.204,9.803,2.716,1.328,0.0,0.0
2014,0.084,0.087,0.495,0.0,0.0,0.095,5.942,5.605,3.207,0.099,0.0,0.158
2015,0.341,0.0,0.102,0.284,0.0,2.94,10.778,7.378,1.215,0.038,0.0,0.0
2016,0.0,0.0,0.0,0.0,0.0,1.198,9.777,6.235,1.35,0.867,0.0,0.0
2017,0.0,0.0,0.0,0.0,0.0,2.831,10.974,4.388,1.193,0.446,0.002,0.791
2018,0.0,0.0,0.0,0.0,0.0,2.117,8.83,6.379,0.986,0.0,0.0,0.0
2019,0.0,0.007,0.0,0.0,0.0,1.657,10.195,8.708,9.445,1.137,0.629,0.015
2020,0.003,0.0,0.023,0.0,0.0,0.351,9.581,11.599,1.86,1.515,0.0,0.003
2021,0.003,0.0,0.0,0.0,2.864,0.383,3.899,0.769,4.37,0.125,0.291,0.52
2022,0.002,0.0,0.0,0.0,0.024,0.906,12.265,9.335,2.479,0.066,0.0,0.009
2023,0.0,0.0,0.001,0.05,0.0,5.245,7.45,1.815,1.449,0.0,1.508,0.052
