Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,295.467,297.843,302.923,306.971,308.349,300.594,299.491,299.245,299.222,298.024,296.431,294.455
1981,294.098,297.641,301.529,305.56,305.865,306.473,300.133,299.482,299.011,298.311,296.547,294.34
1982,295.834,298.464,301.147,305.846,307.199,305.126,300.914,299.15,299.12,297.898,296.892,294.191
1983,295.847,296.363,301.841,305.03,307.469,305.199,300.127,299.566,298.966,298.234,296.659,294.935
1984,295.387,297.133,301.948,305.043,307.784,303.691,299.326,298.998,298.527,298.142,295.813,293.895
1985,295.766,296.663,302.916,305.99,307.415,305.983,300.15,299.189,298.932,297.053,296.214,294.447
1986,294.463,297.084,302.232,306.517,306.935,304.949,301.002,299.342,299.236,297.761,295.961,295.164
1987,295.003,297.724,301.394,306.268,307.266,306.032,302.276,299.63,299.387,298.164,296.495,295.34
1988,295.433,297.864,301.585,305.333,307.22,305.71,299.865,299.623,299.328,297.911,296.404,294.863
1989,293.328,296.691,301.064,305.766,306.664,304.173,299.314,299.275,299.087,298.161,296.829,294.437
1990,293.801,297.43,299.938,304.715,305.248,306.436,299.699,299.266,298.971,297.617,296.295,293.961
1991,294.316,299.276,303.05,305.907,308.473,302.875,300.879,299.384,299.306,297.654,295.638,293.971
1992,293.834,297.575,301.507,305.996,307.289,304.684,300.579,299.116,299.0,297.784,296.772,293.284
1993,293.459,297.485,301.119,306.023,307.805,303.803,299.654,299.308,298.833,297.87,295.844,293.239
1994,294.49,297.201,302.132,305.603,307.366,303.44,299.203,299.051,298.678,297.787,295.424,292.136
1995,293.343,297.631,302.49,306.068,305.332,306.316,300.242,299.411,299.195,297.599,295.092,292.91
1996,294.78,297.579,303.038,305.167,307.661,303.645,300.4,298.845,299.169,298.194,295.611,293.057
1997,293.722,295.736,302.743,305.201,307.926,306.424,299.976,299.517,299.157,297.747,297.809,296.049
1998,294.909,297.842,301.151,306.293,308.344,307.021,300.255,299.582,299.354,298.701,296.569,293.322
1999,293.428,298.214,301.845,306.119,307.673,304.531,300.396,299.243,298.723,297.842,295.135,294.01
2000,294.161,296.218,301.745,306.212,307.474,302.6,299.568,299.189,298.919,298.233,296.428,291.767
2001,293.022,297.824,301.939,304.46,307.584,301.426,299.715,299.317,299.32,298.558,297.487,293.337
2002,294.741,297.917,302.466,306.072,308.486,305.422,301.613,299.194,298.779,298.028,295.666,293.716
2003,294.42,298.242,301.448,306.657,307.765,305.652,299.42,299.171,298.996,298.174,295.641,293.565
2004,294.847,296.501,302.273,306.208,307.715,303.365,299.81,299.373,299.109,297.608,295.591,294.08
2005,295.459,299.345,302.649,305.49,306.77,306.142,299.822,299.681,299.397,298.259,294.948,293.899
2006,294.229,298.922,300.927,305.047,305.232,304.394,299.93,299.145,299.187,298.635,296.178,293.624
2007,293.234,297.665,300.556,305.674,307.169,304.211,300.243,299.464,299.342,297.789,296.836,293.981
2008,293.838,296.404,302.362,303.717,308.379,303.178,299.672,299.538,298.869,298.652,297.77,294.691
2009,295.622,297.891,302.01,305.65,307.114,308.341,299.619,300.047,299.69,298.483,296.553,293.716
2010,294.773,297.463,303.84,306.947,307.584,304.879,299.518,299.663,299.463,298.714,298.257,294.075
2011,293.432,296.631,302.097,301.541,307.346,305.052,299.826,299.419,299.38,298.818,296.903,294.328
2012,294.612,297.432,302.075,306.5,308.1,308.013,300.012,299.257,299.178,297.77,295.295,293.207
2013,292.666,295.365,301.017,303.596,307.834,302.344,299.341,299.161,299.504,298.045,295.195,291.914
2014,293.843,295.994,301.342,305.226,306.357,308.22,301.784,299.493,298.932,298.133,294.271,292.072
2015,292.823,296.352,299.818,304.013,307.401,303.649,300.597,299.452,299.547,299.531,296.572,294.505
2016,294.219,298.988,302.518,306.023,305.943,303.821,299.439,299.225,298.922,297.922,294.229,292.294
2017,293.29,296.353,301.284,305.207,306.111,303.489,299.596,299.327,299.262,298.568,295.307,293.363
2018,291.659,296.447,302.208,304.228,305.757,304.794,300.056,299.439,299.103,297.889,296.461,294.044
2019,292.974,296.698,301.77,305.169,306.323,305.376,299.727,299.445,299.254,298.419,296.044,293.141
2020,293.582,295.494,299.765,303.707,306.175,303.647,300.351,299.773,299.755,298.678,297.563,293.276
2021,295.195,296.639,302.469,304.028,305.151,303.865,300.307,299.844,299.372,298.887,296.733,293.664
2022,293.098,295.401,302.089,305.052,305.439,303.705,299.541,299.342,299.318,297.377,294.37,294.019
2023,295.209,296.454,300.144,303.408,305.829,304.791,299.774,299.322,299.357,298.36,296.604,293.261
