Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,289.075,292.434,298.409,302.862,308.327,301.156,299.525,299.567,298.659,295.33,292.033,289.869
1981,289.062,293.277,297.759,301.583,306.004,302.897,299.46,299.344,298.772,296.185,292.551,289.451
1982,291.479,292.521,297.805,303.306,307.469,302.287,300.781,299.276,298.895,295.824,293.391,289.27
1983,289.521,292.266,297.871,301.964,307.504,303.498,299.777,299.094,298.819,296.269,292.664,289.857
1984,290.967,293.25,298.925,303.239,305.769,300.719,299.24,299.107,298.099,296.576,291.493,289.236
1985,290.395,292.305,299.435,303.349,307.18,304.256,299.028,299.291,298.387,295.95,292.334,290.662
1986,290.035,293.203,297.866,303.893,305.259,302.836,299.385,299.175,298.267,295.662,292.846,291.273
1987,290.542,293.367,297.481,303.673,305.75,304.841,300.28,299.429,299.01,296.428,293.616,289.756
1988,289.941,293.548,297.793,302.895,306.13,300.832,299.728,299.437,299.215,296.294,292.914,290.367
1989,288.598,292.279,298.716,300.687,304.56,302.92,299.332,298.969,298.836,296.207,292.798,289.014
1990,290.559,293.423,297.373,301.426,306.264,303.203,299.421,299.236,298.683,295.912,293.386,290.13
1991,288.979,294.434,299.218,302.682,308.111,303.308,300.689,299.489,298.429,296.032,291.614,289.49
1992,289.124,291.313,299.555,302.268,305.149,303.781,299.75,299.049,298.097,295.789,292.65,288.364
1993,289.828,293.805,296.985,301.126,306.505,302.875,299.489,299.227,298.401,296.319,292.768,289.609
1994,290.523,291.557,298.245,301.516,305.591,301.664,299.214,299.102,298.063,295.634,292.127,287.629
1995,287.916,292.777,298.246,302.265,304.924,303.453,299.562,299.249,298.517,295.921,292.457,289.341
1996,290.223,293.913,300.322,302.518,307.344,302.52,299.717,299.033,298.617,295.797,292.092,288.785
1997,288.637,291.711,299.453,301.956,305.573,303.994,299.585,299.441,298.623,295.065,294.44,290.463
1998,289.848,294.674,297.205,303.724,306.801,305.199,299.872,299.519,299.096,297.181,294.118,290.01
1999,289.144,294.645,298.436,303.467,305.915,302.025,299.861,299.063,298.327,296.295,291.986,289.832
2000,289.282,292.123,297.885,304.349,306.179,300.839,299.68,299.141,298.063,295.748,292.677,288.992
2001,289.067,294.014,298.797,302.74,305.172,300.253,299.236,299.315,298.645,296.938,293.671,289.015
2002,290.914,293.539,298.153,303.825,306.192,301.483,300.335,298.978,298.263,295.473,292.697,289.987
2003,289.619,293.849,297.655,304.381,306.278,303.885,299.388,299.305,299.065,296.889,291.865,289.313
2004,289.911,292.758,299.605,304.603,306.933,301.88,299.599,299.195,298.769,295.299,292.142,289.515
2005,291.055,295.727,300.869,303.232,305.791,303.226,299.635,299.86,299.242,296.221,291.8,289.769
2006,290.657,295.954,298.098,303.281,305.555,302.502,299.735,299.21,298.996,296.043,292.837,290.0
2007,289.527,293.729,297.472,303.804,304.778,303.638,299.855,299.44,298.914,296.301,292.452,288.905
2008,290.409,292.343,299.388,302.94,305.944,300.52,299.677,299.31,298.604,296.078,293.67,291.03
2009,292.174,294.724,298.767,302.787,304.738,303.91,299.62,299.747,299.059,296.047,293.066,289.413
2010,290.169,293.4,299.879,305.915,306.639,303.51,299.994,299.61,298.912,297.0,294.578,289.547
2011,289.202,293.503,299.452,301.842,305.909,302.218,299.605,299.436,298.808,296.316,293.126,288.627
2012,290.228,294.227,298.355,304.461,306.724,306.468,300.238,299.599,299.265,296.555,292.715,289.467
2013,289.186,294.311,299.679,304.299,307.758,302.381,299.841,299.73,299.596,297.783,292.944,290.414
2014,290.35,293.879,299.168,304.212,307.754,307.391,300.939,299.719,298.864,297.061,293.4,290.239
2015,291.012,295.237,299.515,303.848,308.203,304.153,300.106,299.544,299.612,297.599,295.885,290.599
2016,290.264,296.5,300.971,306.563,307.723,305.75,300.122,299.915,299.697,297.562,293.533,290.176
2017,291.499,294.975,299.995,306.115,307.347,304.668,299.803,299.946,300.076,298.01,293.067,291.558
2018,289.272,295.164,299.99,304.954,307.086,305.607,301.225,300.0,299.691,296.99,294.833,290.894
2019,291.953,296.217,299.536,306.2,309.119,305.421,300.447,300.34,299.689,297.734,295.162,290.589
2020,291.108,293.116,299.1,302.358,304.983,301.188,300.563,300.248,300.168,298.473,295.198,291.47
2021,291.63,294.481,301.922,306.387,305.495,302.723,300.423,299.915,299.342,298.158,294.596,291.52
2022,290.943,293.523,301.869,307.341,306.998,305.241,299.635,299.606,299.65,297.39,292.967,290.104
2023,291.335,294.537,298.836,303.042,306.315,305.15,300.051,299.676,299.619,297.543,294.858,291.501
