Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,290.696,292.227,296.873,303.789,307.554,304.204,297.855,297.748,296.99,296.755,293.175,289.749
1981,289.375,293.191,297.617,303.103,307.57,305.852,297.743,297.478,297.116,296.119,291.489,290.191
1982,291.594,292.26,296.843,301.784,305.302,305.464,300.08,297.351,296.693,295.471,294.053,291.687
1983,289.856,291.383,297.135,301.717,307.262,304.609,298.056,297.803,297.408,294.833,291.663,290.647
1984,290.278,290.521,298.999,303.221,306.66,304.008,298.112,297.127,295.8,295.785,291.798,289.948
1985,290.711,291.83,299.133,303.285,307.095,305.42,298.883,297.198,296.864,294.779,293.038,290.896
1986,290.578,292.097,297.99,303.509,306.023,305.061,299.229,297.008,296.99,296.044,293.332,289.799
1987,290.571,293.347,298.658,303.215,306.002,305.896,299.697,297.96,297.475,296.37,293.544,291.024
1988,291.828,294.103,297.322,304.564,307.829,306.898,299.415,297.753,297.742,295.974,292.818,290.196
1989,288.243,291.719,297.397,302.196,305.942,304.886,298.418,297.512,297.281,296.742,294.066,290.083
1990,291.497,293.242,295.964,302.647,307.62,305.157,297.835,297.671,296.708,296.305,292.945,291.215
1991,289.275,294.1,298.599,302.456,306.976,305.476,300.468,297.228,296.739,295.756,292.73,290.303
1992,289.574,291.197,297.675,302.22,305.808,305.502,300.344,297.367,296.189,295.854,292.047,289.685
1993,289.475,292.719,296.048,302.55,307.487,303.735,298.628,297.574,296.664,296.321,292.855,289.292
1994,292.078,291.463,298.205,302.529,307.152,304.513,297.654,297.305,295.755,295.363,292.536,287.893
1995,287.824,292.102,296.778,301.09,305.088,306.829,299.454,297.169,297.157,296.314,292.035,290.162
1996,290.156,293.348,298.943,301.895,305.705,305.754,299.765,297.372,296.846,294.788,291.75,288.03
1997,288.264,290.189,297.526,301.507,304.421,302.142,298.385,297.047,296.776,293.736,293.153,289.579
1998,289.34,291.745,296.42,303.304,307.149,305.655,298.891,298.017,297.689,295.791,292.847,288.927
1999,288.436,294.057,297.248,302.687,306.465,304.334,298.943,297.278,297.085,295.277,292.012,289.256
2000,289.624,290.546,296.309,303.846,307.015,305.424,298.078,297.666,296.546,297.024,292.272,288.762
2001,289.764,292.964,297.857,302.263,306.601,303.145,297.842,297.655,297.582,296.011,292.935,289.945
2002,288.62,292.988,298.168,302.351,307.488,305.54,299.151,297.585,296.187,296.936,293.639,290.999
2003,290.587,293.601,297.337,303.591,304.652,303.921,297.92,297.282,296.703,295.527,294.346,291.354
2004,291.173,292.339,299.089,304.27,306.476,304.265,299.686,297.424,297.318,294.686,293.777,291.094
2005,289.785,293.143,298.686,300.569,305.455,305.167,298.007,297.66,297.57,295.695,292.399,289.475
2006,290.745,296.471,296.319,302.822,307.018,303.373,298.083,297.326,297.217,297.085,293.996,291.704
2007,290.134,295.115,297.025,304.004,307.118,304.07,298.065,297.714,297.303,294.753,293.501,291.291
2008,290.18,290.365,299.597,302.945,306.801,302.879,299.511,297.739,296.922,296.354,293.267,292.01
2009,292.574,294.69,298.196,302.519,307.601,306.793,298.453,298.075,297.678,296.476,293.306,292.384
2010,291.188,294.775,300.433,304.734,308.137,306.69,299.455,298.13,297.151,297.312,294.36,289.771
2011,288.403,293.596,298.188,302.286,307.353,305.567,299.169,297.846,296.945,296.778,294.816,289.84
2012,290.042,292.724,296.625,304.251,306.044,306.336,300.807,297.993,297.329,297.268,292.716,290.822
2013,289.25,293.656,297.278,303.0,308.052,304.794,299.055,297.805,298.002,295.829,290.908,288.796
2014,290.267,291.922,297.215,303.158,307.141,307.256,301.543,298.045,296.644,297.011,292.636,287.931
2015,289.144,294.403,297.256,302.164,307.596,302.869,299.405,297.787,297.653,297.658,295.142,288.042
2016,289.227,293.227,299.195,302.79,307.406,305.006,299.003,296.944,297.313,295.548,291.653,288.585
2017,290.162,292.672,297.71,303.281,307.841,305.745,298.56,297.93,297.581,297.706,292.638,290.635
2018,289.631,294.359,299.457,304.592,307.936,305.095,299.163,297.988,296.543,297.249,293.474,288.726
2019,288.749,293.659,297.542,305.017,306.901,306.998,300.339,298.133,298.04,296.579,295.562,290.741
2020,289.856,292.686,296.83,303.477,307.06,305.356,299.994,298.301,298.277,297.385,292.832,289.749
2021,291.968,293.634,299.889,302.911,305.156,305.185,300.495,298.094,297.881,295.667,292.442,289.806
2022,288.449,292.551,299.49,304.827,306.74,305.568,298.406,297.815,297.577,295.161,290.5,288.956
2023,288.851,292.54,296.734,300.312,303.492,301.941,298.631,296.929,297.18,296.363,293.609,290.371
