Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,295.631,297.178,301.007,305.711,308.88,302.325,297.931,297.816,297.454,297.521,294.964,292.963
1981,293.351,296.416,300.907,305.011,309.261,307.161,298.054,297.696,298.149,297.132,294.267,292.969
1982,295.654,298.491,301.263,304.862,308.283,305.926,299.916,297.416,297.608,296.769,296.573,293.829
1983,293.912,296.541,301.824,305.397,309.028,304.874,299.064,298.102,298.081,296.617,293.569,293.832
1984,295.219,296.131,301.396,305.821,308.432,302.793,298.488,297.272,296.973,296.968,293.035,293.463
1985,295.156,296.674,302.107,305.858,308.124,305.022,298.86,297.261,297.487,295.932,294.255,293.475
1986,293.524,296.684,301.878,305.283,308.64,304.903,298.571,297.335,297.649,297.245,294.992,294.103
1987,294.025,296.887,300.968,304.936,306.768,306.243,299.89,298.174,297.874,297.134,295.502,293.622
1988,295.473,298.027,301.679,306.387,309.932,305.821,298.927,298.363,298.349,296.088,294.161,292.638
1989,292.751,295.731,301.459,304.702,309.05,304.415,298.294,297.575,297.925,297.314,295.633,292.986
1990,294.171,297.554,300.929,304.911,307.369,304.795,297.753,297.978,297.409,296.84,295.237,292.902
1991,294.013,298.061,301.733,305.585,308.156,302.794,299.057,297.394,297.653,297.294,294.924,293.222
1992,292.103,295.683,301.249,305.229,307.54,306.12,301.143,297.549,297.106,296.888,295.067,292.212
1993,293.047,295.637,299.883,304.601,307.866,304.448,299.189,298.05,297.291,297.292,294.647,291.175
1994,294.343,296.373,300.71,304.562,309.147,303.515,297.805,297.133,296.638,296.495,294.774,290.513
1995,291.5,297.365,301.692,303.955,306.095,307.307,299.719,298.01,297.959,296.536,294.225,293.137
1996,295.152,297.35,302.181,305.226,307.87,305.554,299.844,297.521,297.644,296.496,293.28,290.348
1997,292.084,294.382,301.585,303.882,307.19,303.617,298.253,297.687,297.855,295.996,295.842,294.26
1998,294.734,296.824,301.247,306.446,309.082,306.066,299.126,298.334,298.2,297.219,294.837,291.426
1999,292.152,298.01,301.176,304.907,308.042,303.832,298.3,297.641,297.385,296.846,294.233,292.305
2000,293.71,296.236,300.577,305.825,307.702,304.991,297.947,297.906,297.405,298.615,294.624,290.894
2001,293.438,297.094,302.078,304.615,308.851,303.536,298.613,297.914,298.208,297.479,295.653,292.744
2002,293.593,297.769,301.119,304.065,309.041,306.142,299.555,297.75,297.591,297.906,295.024,294.226
2003,294.239,298.72,301.126,306.015,306.421,304.823,298.264,297.733,297.409,296.983,295.036,292.785
2004,294.473,295.925,301.322,306.378,308.406,303.957,298.999,297.604,298.037,296.59,294.733,292.702
2005,294.072,297.87,301.393,304.046,307.631,305.901,298.549,298.192,298.208,296.863,293.55,291.989
2006,293.66,297.786,299.407,305.217,308.411,304.263,298.317,297.71,298.319,297.645,295.374,293.349
2007,292.502,297.191,300.778,305.505,308.766,304.166,298.704,298.117,298.381,296.437,295.087,293.968
2008,293.538,295.015,301.562,304.482,308.415,303.346,298.567,298.056,297.694,296.848,296.085,293.847
2009,295.663,299.042,301.902,304.959,308.96,307.572,298.569,298.379,298.524,297.069,295.264,294.294
2010,293.7,298.186,303.646,305.484,309.229,306.099,298.928,298.452,298.259,297.558,297.171,293.082
2011,292.021,295.853,301.182,303.925,308.862,304.933,299.275,298.227,297.799,297.962,295.28,291.417
2012,294.28,297.347,299.899,305.895,308.356,306.004,299.449,298.133,298.218,297.329,295.336,293.852
2013,294.681,298.112,299.965,305.238,310.055,303.332,298.013,297.733,298.24,297.025,293.311,290.109
2014,293.164,295.083,300.227,304.787,307.757,307.569,301.356,298.466,297.62,297.624,293.749,290.898
2015,292.468,296.723,300.306,302.928,308.489,302.974,300.002,298.134,298.276,299.158,295.953,293.478
2016,292.389,298.565,302.539,305.998,308.712,305.181,298.355,297.41,297.679,295.808,292.808,290.521
2017,292.531,295.466,300.299,304.744,309.312,304.557,299.085,298.291,298.21,297.782,294.599,291.942
2018,292.144,296.61,301.256,306.095,308.511,304.274,298.589,298.058,297.763,298.392,295.955,293.812
2019,292.836,298.204,302.514,306.797,308.186,306.907,298.91,298.386,298.387,297.282,295.847,293.954
2020,295.052,296.197,300.122,305.309,308.534,303.817,299.381,298.566,298.859,297.737,295.197,291.677
2021,294.902,295.195,300.732,304.228,307.184,304.701,300.493,298.475,298.354,297.035,295.895,292.681
2022,292.36,295.88,300.988,304.602,308.097,305.713,298.386,298.013,298.217,295.993,292.693,293.649
2023,294.635,295.396,299.785,303.083,306.326,305.246,298.779,297.687,297.883,297.379,296.151,292.765
