Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,286.53,291.596,295.525,303.43,307.735,309.216,303.167,301.242,299.656,296.727,290.784,288.349
1981,288.089,291.928,296.828,303.39,308.621,309.256,303.022,300.616,299.234,295.571,290.207,286.653
1982,288.457,290.875,295.853,301.615,306.29,310.141,306.149,301.155,300.337,297.209,292.962,288.582
1983,287.62,289.999,295.36,300.804,308.222,308.661,303.035,300.881,299.506,295.551,290.566,288.65
1984,288.185,288.789,297.808,303.272,308.643,311.425,302.328,300.304,298.196,294.889,290.354,287.788
1985,287.405,291.192,297.602,303.361,308.494,310.843,303.228,301.205,300.146,295.247,291.912,290.308
1986,288.313,290.748,296.634,303.649,307.741,310.309,303.745,301.663,299.946,296.129,292.487,286.818
1987,289.285,293.272,297.819,303.285,307.256,309.457,307.598,302.174,301.245,296.746,290.773,288.557
1988,288.745,292.951,296.493,304.254,309.462,310.571,304.287,300.72,300.079,295.677,290.179,288.909
1989,286.325,289.466,296.404,301.394,306.998,309.664,304.997,300.929,300.455,296.119,290.886,287.426
1990,289.675,292.213,295.683,302.402,310.298,310.546,303.687,300.659,299.733,296.089,290.838,288.082
1991,286.968,292.571,296.801,302.386,308.19,310.324,306.722,302.105,299.567,295.004,291.075,289.117
1992,289.113,289.723,296.437,301.807,307.366,310.159,303.558,300.478,298.729,295.923,290.77,288.413
1993,287.739,292.633,294.861,301.623,308.571,310.143,304.258,303.488,298.95,296.132,291.462,286.767
1994,289.7,290.72,297.545,301.95,308.055,309.841,302.546,300.173,297.829,294.689,290.051,286.389
1995,285.82,291.16,295.972,301.621,305.928,309.526,304.349,299.663,298.98,296.005,290.451,287.374
1996,287.305,292.321,299.488,301.993,305.424,309.314,304.999,301.215,298.967,295.66,289.529,285.487
1997,286.523,289.099,297.057,301.332,304.671,308.463,305.269,300.428,299.615,293.936,291.413,287.558
1998,286.661,290.67,295.504,303.127,307.731,308.316,303.125,301.593,300.158,296.843,290.911,287.693
1999,287.914,291.725,296.379,302.789,307.646,310.322,305.975,301.781,300.227,296.59,291.181,287.091
2000,288.325,288.831,295.485,303.061,308.516,308.783,303.05,302.013,300.027,297.095,291.653,286.911
2001,287.11,291.31,296.583,302.195,307.459,309.212,303.549,302.424,300.856,297.724,291.299,287.949
2002,287.43,291.506,297.24,302.725,307.174,308.626,308.128,301.75,298.799,296.856,291.91,288.607
2003,288.051,291.361,296.392,303.096,304.602,308.066,302.148,300.51,299.318,295.706,290.877,288.832
2004,288.885,290.594,298.557,304.417,307.411,308.254,306.872,300.749,299.93,295.245,291.352,289.842
2005,287.812,291.938,298.44,300.907,305.389,307.593,301.089,301.131,299.672,297.135,291.357,286.911
2006,288.572,295.877,296.748,302.733,309.106,307.245,303.17,300.014,299.115,297.878,292.614,289.061
2007,287.137,292.93,296.698,304.096,307.956,309.729,304.429,301.497,299.542,295.45,292.4,287.746
2008,287.968,289.487,298.533,302.251,307.521,311.179,306.417,301.431,299.759,298.06,292.058,290.114
2009,290.55,292.931,297.649,302.598,308.517,308.966,304.732,303.138,300.031,296.728,291.745,288.547
2010,288.836,292.613,298.788,304.88,309.107,310.412,304.628,301.57,299.319,297.298,292.437,286.935
2011,286.182,291.443,297.291,301.747,308.327,309.76,305.675,300.743,299.524,297.373,293.426,286.712
2012,286.611,289.885,295.663,303.635,306.16,309.432,307.644,302.324,300.1,297.478,291.485,288.771
2013,287.547,292.468,298.617,303.45,308.396,311.146,308.753,302.864,301.851,298.218,291.013,287.587
2014,288.753,291.129,296.537,302.109,307.263,310.888,308.35,304.261,300.767,297.65,291.604,286.573
2015,288.068,293.726,296.527,302.871,307.756,309.054,306.124,303.685,301.122,298.204,293.303,287.074
2016,287.743,291.146,298.221,303.163,309.681,310.989,305.777,301.399,300.564,297.815,292.652,289.406
2017,288.406,292.051,297.024,305.178,308.904,309.609,304.65,302.506,300.625,298.4,291.502,288.69
2018,287.96,293.354,298.986,304.509,308.056,310.356,307.58,304.441,300.83,297.914,292.84,287.413
2019,289.079,292.775,296.884,304.567,307.399,310.468,307.646,301.638,300.612,297.602,295.233,286.631
2020,288.525,291.563,296.213,302.728,307.716,309.95,305.652,301.06,300.637,296.807,291.828,287.244
2021,289.554,293.877,299.455,302.767,306.524,309.472,305.644,303.961,300.758,298.152,291.534,287.235
2022,286.545,291.286,299.679,305.511,309.078,309.438,302.172,300.404,300.258,296.84,292.283,287.091
2023,286.723,294.615,298.035,301.867,304.477,307.127,301.851,300.852,299.862,297.47,293.335,288.786
