Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,281.897,282.482,291.133,296.792,296.496,297.053,297.206,296.947,296.328,292.947,289.768,282.517
1981,282.764,283.365,289.971,293.853,295.454,296.664,296.992,297.071,295.95,293.71,290.301,282.486
1982,284.354,281.124,290.284,293.518,296.364,296.62,296.906,296.968,295.789,293.44,289.38,283.656
1983,283.598,281.605,289.803,293.543,295.19,296.826,297.137,296.823,296.201,294.546,290.18,282.678
1984,284.328,282.572,290.618,296.507,295.315,296.94,296.698,296.86,295.197,293.948,289.615,282.867
1985,282.604,281.846,291.921,295.646,295.273,296.769,296.28,296.922,296.008,293.62,288.743,283.267
1986,283.343,283.261,290.481,294.489,295.109,297.049,296.737,296.804,295.692,292.762,289.629,283.359
1987,282.762,284.513,290.614,294.689,296.21,296.739,297.149,296.603,296.182,293.145,290.708,282.834
1988,285.011,282.149,290.857,294.578,295.977,296.686,297.044,296.706,296.065,294.497,290.741,284.647
1989,282.701,282.285,289.755,294.39,295.963,296.779,297.038,296.833,296.193,294.44,289.402,282.446
1990,283.444,283.693,289.71,293.608,295.711,296.733,296.992,296.807,296.046,293.529,290.592,283.623
1991,282.68,283.939,291.087,294.669,295.625,296.686,297.125,297.122,295.961,293.958,289.128,283.261
1992,281.97,282.607,290.863,295.999,296.476,297.007,296.608,296.563,295.834,293.13,289.366,280.75
1993,284.235,281.633,289.155,292.279,294.417,296.092,296.732,296.973,295.994,293.659,290.075,284.907
1994,284.61,281.13,290.012,293.749,296.007,296.792,296.782,296.947,296.023,292.526,289.971,282.855
1995,284.601,287.624,291.724,294.903,296.432,297.162,296.773,296.873,295.718,294.187,290.886,286.239
1996,282.764,288.344,293.167,294.894,295.717,296.338,296.969,296.749,296.393,293.803,290.111,287.492
1997,283.764,286.558,293.286,294.496,296.39,296.222,297.132,296.929,295.442,291.752,289.34,286.166
1998,283.934,287.393,290.03,294.542,295.932,297.165,297.309,296.844,296.476,294.41,290.733,288.393
1999,286.222,290.359,293.913,298.526,295.331,297.128,297.099,296.665,296.061,294.093,289.025,286.692
2000,284.815,285.979,291.459,295.097,295.093,296.69,296.62,296.448,295.205,293.862,289.798,286.741
2001,284.574,289.896,292.891,295.831,294.945,296.741,297.055,297.215,296.457,294.525,289.871,288.235
2002,287.166,289.659,293.293,295.057,294.825,296.673,297.441,296.762,296.005,293.427,290.685,287.566
2003,285.631,289.251,292.15,296.25,294.425,296.384,296.882,297.285,296.634,294.979,289.305,287.748
2004,285.706,288.11,294.502,294.495,296.014,297.01,297.035,297.129,296.16,292.953,289.236,285.996
2005,286.375,288.545,293.825,295.756,294.9,296.932,297.064,297.317,296.68,294.688,289.682,287.815
2006,286.968,291.328,293.094,296.417,296.048,297.083,297.483,297.09,296.296,294.138,289.914,287.558
2007,286.666,288.476,291.839,294.757,296.065,297.013,297.144,297.208,296.285,294.834,291.225,286.978
2008,286.943,287.254,293.642,295.324,295.181,296.869,297.047,297.011,296.468,294.212,289.833,286.561
2009,286.076,290.36,294.244,296.462,296.084,296.924,297.646,297.259,296.638,294.541,291.245,286.574
2010,287.2,289.395,294.849,294.834,295.629,296.886,297.325,297.236,296.807,294.867,291.42,287.493
2011,285.533,288.764,292.913,294.536,295.413,297.15,297.234,297.009,296.637,294.152,289.181,287.292
2012,285.769,287.897,293.389,294.12,296.271,297.005,297.495,297.414,296.847,294.422,291.058,287.615
2013,286.695,291.589,294.706,294.316,295.683,297.69,297.696,297.231,296.856,294.784,291.531,287.375
2014,287.068,288.996,292.162,296.336,296.285,297.545,297.534,297.283,296.281,294.156,290.897,288.301
2015,288.047,289.076,294.092,295.129,296.674,297.304,297.353,297.099,296.784,294.237,291.066,287.018
2016,285.839,291.344,294.352,296.658,295.829,297.108,297.523,297.66,296.993,295.55,291.912,289.646
2017,288.356,290.561,293.377,295.467,296.185,297.193,297.577,297.406,296.932,295.175,291.719,289.886
2018,285.498,289.805,294.611,295.364,295.327,297.281,297.72,297.621,296.77,293.525,290.276,288.143
2019,288.165,290.426,293.16,296.254,297.352,297.372,297.477,297.775,296.694,295.197,292.607,287.29
2020,285.766,289.366,293.231,294.467,294.838,296.971,297.806,297.927,297.381,296.178,291.308,287.029
2021,287.24,289.187,293.744,296.388,296.082,297.464,297.694,297.685,296.966,295.395,289.799,287.89
2022,285.209,285.831,293.803,295.392,295.185,296.845,297.646,297.519,296.822,295.099,290.694,288.01
2023,287.381,289.827,293.877,295.713,295.038,296.712,297.277,297.278,296.8,293.98,290.973,289.146
