Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,281.047,283.67,289.941,295.746,299.928,296.75,295.868,295.349,293.828,289.927,286.965,285.302
1981,281.581,286.099,289.123,294.241,298.12,298.996,296.135,295.597,293.916,290.156,286.03,283.637
1982,282.436,282.98,289.094,292.656,297.764,299.201,297.714,295.52,293.888,290.167,287.319,283.887
1983,281.309,281.482,288.906,292.021,297.373,298.638,295.839,295.522,294.361,290.469,286.503,284.472
1984,282.433,283.203,290.248,294.476,299.81,297.837,295.418,295.441,293.134,290.84,286.01,285.084
1985,281.542,283.836,291.422,294.657,298.064,299.262,295.74,295.431,293.839,290.293,286.175,286.077
1986,282.494,283.033,289.246,293.873,296.85,298.572,296.067,295.161,293.601,289.291,286.951,284.306
1987,282.53,284.425,289.406,294.363,298.056,300.854,297.293,295.381,294.191,290.247,288.134,285.891
1988,282.64,285.36,289.088,294.747,298.763,297.871,296.421,295.535,294.495,290.513,286.602,285.414
1989,281.516,283.235,290.147,293.615,298.442,298.256,296.162,294.944,294.065,290.304,286.682,284.231
1990,285.172,283.37,288.145,293.38,298.503,298.906,295.97,295.253,294.089,290.083,287.592,285.034
1991,280.875,285.743,290.214,293.703,299.299,298.387,297.288,295.611,293.796,290.351,286.181,284.883
1992,282.687,282.029,290.595,295.268,297.199,298.63,296.661,295.11,293.566,289.622,287.182,283.657
1993,280.263,284.065,287.446,292.413,298.267,298.478,296.079,295.604,293.825,290.734,287.829,284.93
1994,282.961,281.59,290.573,293.001,297.975,298.054,295.771,295.37,293.626,289.998,286.464,283.288
1995,281.51,285.347,289.732,294.804,298.518,299.301,295.763,295.388,293.866,291.026,287.182,284.645
1996,283.16,286.566,292.317,295.282,298.732,297.667,296.276,295.11,293.629,290.002,286.245,285.352
1997,282.477,284.482,290.524,292.749,297.574,298.266,296.399,295.748,293.524,288.977,287.847,284.374
1998,283.767,286.268,288.28,295.421,299.662,299.446,296.228,295.509,294.578,292.181,289.331,286.679
1999,285.026,289.293,291.986,297.339,298.693,297.629,296.262,295.183,294.168,290.698,288.383,285.116
2000,284.86,284.421,289.384,295.985,298.936,297.357,295.291,294.996,293.039,291.092,288.034,285.848
2001,284.514,287.276,290.214,294.948,297.764,296.249,295.567,295.023,293.802,291.419,288.929,285.715
2002,284.943,287.096,291.281,295.568,297.985,298.786,296.719,295.193,293.156,290.255,288.01,285.558
2003,285.517,286.762,289.997,296.168,297.033,297.88,295.497,295.239,294.307,290.908,287.986,285.064
2004,284.521,286.986,293.0,296.265,299.424,297.015,295.945,295.175,294.223,289.351,287.167,286.51
2005,284.183,286.969,291.902,294.074,296.611,298.199,295.565,295.378,294.551,290.467,287.165,285.565
2006,286.021,290.165,290.985,294.64,298.492,298.289,296.33,295.606,294.54,290.907,287.328,286.473
2007,285.25,286.248,290.266,295.413,298.014,298.297,296.124,295.664,294.396,290.917,287.974,286.363
2008,284.046,285.387,291.683,294.814,297.42,296.768,296.325,295.355,293.691,290.379,288.937,287.33
2009,287.678,289.19,291.369,295.871,297.353,299.579,296.35,295.916,294.443,290.999,288.68,286.251
2010,287.044,287.302,293.334,297.98,299.623,299.919,296.264,295.639,294.262,291.898,289.831,285.618
2011,283.791,287.651,291.47,294.087,299.456,298.512,295.597,295.187,294.422,291.288,288.892,284.895
2012,282.996,286.5,290.731,294.446,298.658,301.747,296.806,296.026,294.771,290.731,288.962,286.238
2013,284.711,288.22,293.527,297.15,300.736,299.503,297.043,295.777,294.894,292.349,288.994,285.819
2014,285.766,287.314,291.178,296.359,299.804,302.465,298.204,296.485,294.746,291.508,288.548,286.24
2015,285.023,289.024,290.986,295.422,300.803,299.902,297.885,296.011,294.983,292.59,290.989,284.962
2016,285.11,289.245,293.422,298.26,298.736,298.432,296.693,296.14,295.02,292.185,289.868,287.981
2017,285.875,288.76,291.46,297.738,298.944,299.152,296.588,296.227,295.132,292.573,289.101,288.0
2018,285.07,288.901,292.863,296.554,299.799,300.248,297.432,296.382,294.888,291.361,289.749,285.66
2019,285.281,287.543,291.535,297.558,300.335,300.443,297.089,296.472,295.618,292.001,290.826,285.362
2020,284.381,286.809,290.323,294.383,298.689,298.519,297.106,296.541,295.502,293.693,289.166,285.771
2021,285.575,288.589,293.361,297.074,297.302,299.789,297.823,296.465,295.472,292.795,288.366,285.869
2022,283.704,285.621,294.733,300.012,299.088,299.517,296.394,295.923,295.054,291.127,287.701,285.706
2023,285.36,287.723,291.021,295.497,296.918,299.178,296.494,296.185,295.237,291.478,289.35,286.44
