Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,288.03,292.353,296.496,304.132,309.085,307.075,300.157,299.506,298.357,296.395,291.236,288.915
1981,288.065,292.377,297.337,303.798,308.82,307.245,300.595,299.354,298.397,295.624,290.614,287.566
1982,289.566,292.187,296.753,302.896,307.425,309.682,303.976,299.272,298.553,296.496,292.979,288.984
1983,287.57,290.104,296.274,301.914,308.372,308.144,300.422,299.418,298.464,295.047,290.354,289.161
1984,288.992,290.38,298.913,303.769,309.975,309.045,300.181,298.91,297.776,295.392,290.499,289.056
1985,288.292,292.255,299.073,304.713,308.534,310.049,301.759,299.27,298.297,295.127,291.761,290.346
1986,289.152,291.06,297.183,303.879,307.077,308.089,301.73,299.149,298.184,295.604,292.817,288.137
1987,289.643,293.65,298.343,303.834,307.103,310.018,305.089,300.417,298.946,296.24,291.624,288.789
1988,289.097,293.863,297.478,304.705,308.974,309.748,302.525,299.582,299.208,295.84,290.707,289.357
1989,286.805,290.893,297.116,301.933,306.915,308.569,302.493,299.249,298.641,296.007,291.74,288.345
1990,291.014,292.49,296.444,303.27,310.428,309.119,300.711,299.19,298.427,295.782,291.075,288.47
1991,287.4,293.235,297.672,302.654,309.055,308.973,303.863,299.67,298.246,295.272,291.379,289.273
1992,289.198,290.521,297.927,302.477,307.025,308.183,302.732,299.041,297.574,295.644,291.117,288.021
1993,288.303,292.582,295.581,301.741,309.096,308.293,302.027,300.349,297.957,295.963,291.726,287.458
1994,290.235,290.683,297.99,302.212,307.901,308.338,300.001,299.148,297.258,294.828,290.27,286.529
1995,286.728,291.884,297.091,301.71,306.388,309.411,302.6,299.08,298.197,295.992,291.057,288.014
1996,288.27,292.89,300.602,302.058,306.186,308.811,303.148,299.199,298.177,295.312,290.645,286.064
1997,286.969,290.063,297.555,301.999,305.087,307.255,302.604,299.127,298.219,293.792,292.391,288.702
1998,287.669,291.582,296.066,303.513,308.977,308.417,300.776,299.769,298.789,296.593,292.188,288.146
1999,288.157,292.707,297.6,304.238,308.25,307.853,302.534,299.452,298.395,295.96,291.821,287.553
2000,288.465,289.632,296.432,303.883,309.821,307.933,300.249,299.545,298.028,296.934,291.764,287.003
2001,287.675,292.047,296.995,302.784,308.648,306.238,300.035,299.764,299.001,297.14,292.041,288.088
2002,288.168,292.8,297.945,302.713,308.116,307.748,305.159,299.341,297.671,296.535,292.367,289.233
2003,288.545,292.505,297.235,304.181,305.881,307.231,300.224,299.466,298.53,295.52,291.969,289.828
2004,290.067,291.373,299.384,305.263,308.304,306.74,303.45,299.35,299.024,294.888,292.015,290.173
2005,288.799,293.299,299.422,301.114,305.465,307.824,299.652,299.778,298.771,296.385,291.576,287.813
2006,289.981,296.004,297.629,303.794,309.29,307.003,300.496,299.003,298.701,297.546,293.073,290.115
2007,288.083,293.973,297.484,304.548,308.61,307.992,301.337,299.529,298.714,295.391,292.31,288.765
2008,289.074,290.67,299.145,303.188,307.947,307.508,302.828,299.704,298.585,297.037,292.612,290.343
2009,291.601,293.675,298.291,304.005,308.258,309.024,301.691,300.581,298.931,296.429,291.974,289.16
2010,289.537,294.105,300.29,305.749,309.134,310.178,302.4,299.881,298.61,297.425,293.726,287.685
2011,286.911,292.45,298.059,302.039,309.029,308.395,301.999,299.536,298.728,296.854,293.671,287.193
2012,287.987,291.735,296.653,304.111,306.759,310.433,303.922,300.041,298.811,297.494,291.897,289.163
2013,288.495,293.637,299.778,304.904,309.44,308.243,304.171,299.891,299.823,297.286,291.469,288.526
2014,289.382,291.662,297.917,303.669,308.921,311.303,305.245,300.758,298.752,297.726,293.229,287.783
2015,288.604,294.922,297.256,303.684,309.064,307.965,303.546,300.655,300.241,298.366,295.263,287.727
2016,288.34,292.463,299.702,305.533,309.777,308.894,301.314,299.667,299.407,297.612,293.053,289.181
2017,289.351,293.21,298.426,306.555,309.898,308.354,301.387,300.085,299.665,298.832,292.153,289.744
2018,289.088,294.268,300.124,305.533,308.754,310.351,303.423,300.797,298.961,298.567,293.903,288.209
2019,289.324,294.187,297.532,305.627,308.877,310.527,305.119,300.077,299.585,297.525,295.112,287.903
2020,288.822,292.143,297.277,303.451,308.703,309.046,303.225,300.145,300.177,298.206,293.261,289.494
2021,291.11,295.275,301.345,303.904,306.934,309.492,303.995,300.627,299.548,297.211,292.603,288.867
2022,287.891,292.848,301.075,307.262,309.744,309.559,300.431,299.61,299.384,296.598,291.652,288.02
2023,287.914,293.867,297.899,303.654,305.64,306.208,300.337,299.042,299.102,297.597,294.002,289.33
