Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,296.654,299.643,301.523,305.511,305.181,297.169,296.385,296.038,295.948,297.086,296.947,295.904
1981,296.586,298.371,301.461,304.603,303.584,296.988,296.338,295.815,296.107,296.136,295.3,295.582
1982,296.684,299.796,301.83,303.714,303.842,297.196,296.202,295.924,295.585,296.214,296.532,295.838
1983,296.287,298.624,301.52,303.95,304.783,299.253,296.583,296.514,296.161,296.028,295.66,296.808
1984,297.551,298.934,302.836,304.592,305.273,296.77,296.118,295.683,295.86,296.185,295.521,296.225
1985,298.498,299.459,302.559,304.609,303.378,296.281,295.821,295.677,295.756,295.489,295.918,296.809
1986,296.494,298.525,302.612,305.59,303.131,296.885,295.908,295.226,295.905,296.9,296.453,296.331
1987,297.19,298.745,301.341,304.247,304.668,297.561,296.46,296.355,296.734,296.681,296.377,296.108
1988,297.651,299.56,302.635,305.133,304.404,297.804,296.426,296.432,296.538,296.418,296.518,296.156
1989,297.314,297.736,300.899,303.704,303.712,296.81,295.938,295.928,295.805,296.983,296.711,296.038
1990,295.798,298.703,300.979,304.397,302.856,297.025,295.974,295.98,295.726,295.974,296.803,296.307
1991,297.077,299.291,302.601,304.805,305.475,297.716,296.172,295.646,295.927,296.524,296.161,295.146
1992,294.2,297.949,302.014,305.295,304.229,299.728,296.329,295.864,295.966,295.899,296.234,294.455
1993,295.684,297.503,301.661,305.007,304.992,298.408,296.129,295.809,295.727,296.377,296.202,295.335
1994,296.496,298.779,302.453,304.325,304.104,296.942,295.979,295.626,295.504,295.909,295.474,293.538
1995,295.046,299.447,302.228,305.251,302.455,299.077,296.376,296.39,296.037,296.248,296.533,295.163
1996,296.59,298.918,302.394,304.534,303.607,298.206,296.188,295.731,295.897,295.617,295.233,294.841
1997,295.005,297.125,302.087,303.514,304.173,298.59,296.581,295.998,296.165,296.5,296.555,297.993
1998,298.05,299.555,302.72,305.788,305.699,299.213,296.74,296.797,296.585,296.195,296.616,295.105
1999,295.673,298.714,302.95,304.295,302.171,297.393,296.226,295.915,295.83,296.229,296.346,295.597
2000,297.359,298.828,302.082,305.075,301.708,296.76,295.937,295.917,296.27,296.483,296.379,294.118
2001,296.739,299.784,301.663,304.601,301.907,297.185,296.125,295.877,296.371,296.433,296.683,295.555
2002,296.561,298.523,302.822,305.751,303.445,298.533,296.369,296.019,296.017,297.039,296.682,295.875
2003,297.21,300.698,302.448,305.858,304.634,299.301,296.493,296.328,295.891,297.055,296.921,295.454
2004,296.882,298.557,301.959,304.773,301.919,297.641,296.368,295.709,296.223,296.296,296.667,295.406
2005,296.642,298.996,301.506,305.248,305.147,299.508,296.664,296.207,296.305,296.402,295.426,295.792
2006,296.005,298.017,301.222,304.574,303.74,297.961,296.218,296.03,296.541,296.48,296.627,295.603
2007,295.884,299.141,302.106,305.287,303.925,299.494,296.519,295.899,296.336,296.451,296.669,296.796
2008,296.187,298.012,299.713,303.928,303.011,297.736,296.503,296.308,296.074,296.801,297.167,296.536
2009,297.409,300.795,302.625,305.242,304.038,298.682,296.101,296.517,296.657,296.831,296.806,296.66
2010,297.162,300.049,302.992,304.966,304.975,298.533,296.736,296.628,296.731,296.392,296.241,295.666
2011,295.194,297.751,302.02,302.765,303.063,297.151,296.556,296.343,296.302,296.617,297.008,295.102
2012,296.585,299.538,301.658,305.611,303.76,297.558,296.513,296.394,296.348,296.742,297.241,296.937
2013,296.657,298.765,301.546,303.729,304.762,297.293,296.191,295.897,296.33,296.405,296.102,294.017
2014,295.79,297.365,300.685,304.57,303.903,298.905,296.741,296.401,296.329,296.66,295.607,295.194
2015,295.472,297.737,300.97,301.772,304.321,298.655,296.456,296.689,296.84,297.702,297.16,297.015
2016,295.631,299.812,303.231,304.445,304.158,298.569,296.315,295.736,295.838,295.776,295.335,294.479
2017,295.435,297.348,301.26,304.034,303.507,297.573,296.778,296.558,296.806,296.819,296.754,295.648
2018,295.862,297.487,301.765,304.556,304.893,297.73,296.552,295.805,296.232,297.174,297.271,296.794
2019,295.384,299.56,302.153,305.362,304.292,298.935,297.081,296.739,296.919,296.694,297.068,296.805
2020,297.819,299.178,302.481,305.249,306.418,297.72,297.218,296.482,297.072,296.696,296.729,295.647
2021,298.446,298.482,303.098,302.897,301.92,297.509,297.074,296.819,296.782,297.052,296.655,296.401
2022,296.441,299.134,302.25,304.746,303.134,298.583,296.572,296.204,296.387,295.921,296.264,296.576
2023,296.211,297.596,300.116,303.279,303.927,298.87,296.575,295.94,296.652,296.967,297.143,296.721
