Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,296.009,298.067,301.625,305.427,308.011,300.592,297.338,297.113,297.169,297.736,295.69,294.066
1981,294.945,297.469,301.801,305.2,308.249,305.115,297.703,296.939,297.362,296.634,294.903,293.992
1982,296.234,299.988,301.4,305.078,307.979,304.851,299.084,297.021,297.341,296.597,296.648,294.309
1983,294.828,298.304,302.67,305.808,308.321,304.088,298.58,297.526,297.491,296.4,294.084,294.759
1984,296.857,297.628,302.019,306.051,307.495,301.818,298.18,297.156,297.054,296.802,293.87,294.347
1985,296.914,298.295,302.992,305.008,307.996,303.266,298.134,297.006,297.809,295.862,294.64,294.356
1986,294.385,298.554,302.684,305.98,307.58,303.602,298.494,297.404,297.839,297.396,295.39,295.401
1987,295.375,297.971,301.5,305.266,306.447,304.114,299.337,297.844,298.312,296.995,295.506,294.635
1988,296.356,299.328,302.491,306.533,308.404,304.35,298.314,297.89,297.795,296.037,294.671,293.845
1989,294.474,295.446,301.776,303.833,307.987,302.988,298.185,297.074,297.384,297.299,295.946,294.121
1990,294.571,298.427,301.619,304.509,305.964,303.0,297.636,297.416,297.261,296.404,295.993,293.763
1991,295.617,298.884,303.004,306.091,307.861,301.515,298.475,296.898,297.612,297.292,295.199,294.094
1992,292.821,296.49,301.123,306.159,307.518,305.572,300.598,297.019,297.313,296.506,295.704,293.079
1993,293.718,296.063,300.373,304.933,306.964,303.934,298.931,298.18,297.457,297.196,295.238,292.587
1994,294.963,297.853,301.014,304.303,307.902,302.185,297.563,297.053,296.95,296.446,294.969,291.389
1995,293.274,298.004,302.315,305.641,306.527,305.474,299.46,298.059,297.625,296.339,294.998,293.43
1996,296.209,298.186,302.294,305.592,306.557,304.269,299.455,297.314,297.289,296.396,294.021,292.15
1997,293.315,294.779,301.748,303.849,306.682,303.127,297.746,297.461,297.606,296.135,296.324,296.426
1998,296.656,298.385,302.764,306.542,308.933,305.184,298.442,298.038,297.631,296.771,295.219,292.334
1999,293.178,298.496,301.5,304.468,307.246,303.139,298.16,297.505,297.539,297.025,294.846,293.386
2000,294.721,297.99,301.158,305.616,306.908,303.566,297.997,297.573,297.354,298.165,295.415,292.0
2001,294.932,298.066,302.423,305.055,307.579,303.106,298.511,297.324,298.111,297.267,295.755,293.456
2002,295.091,298.458,302.038,305.415,308.723,304.968,299.789,297.751,298.635,297.794,295.45,294.83
2003,295.516,299.956,301.59,306.526,306.484,304.785,297.771,297.352,297.341,296.745,295.47,293.509
2004,295.179,297.389,301.8,306.023,307.394,302.942,298.39,297.43,298.0,296.712,295.328,293.347
2005,294.969,299.052,301.531,305.203,306.752,304.792,298.325,297.836,297.645,296.81,293.996,293.063
2006,294.155,298.146,301.239,305.55,307.541,303.535,297.957,297.629,297.928,297.129,295.303,293.937
2007,293.71,298.241,301.574,305.473,307.731,303.186,298.848,297.744,297.789,296.501,295.296,294.835
2008,294.734,296.528,301.521,304.208,307.717,303.409,299.216,297.685,297.413,296.823,296.436,294.612
2009,295.868,299.658,302.065,303.806,307.457,306.422,298.231,298.127,298.548,297.326,296.342,294.948
2010,295.308,299.344,304.265,305.495,308.467,305.303,298.959,298.049,297.841,297.105,296.41,293.933
2011,293.184,296.243,301.752,303.15,307.97,303.616,299.291,297.923,297.4,297.773,295.634,292.03
2012,295.172,298.376,300.406,304.637,307.596,305.091,299.63,298.389,297.79,297.521,295.443,294.544
2013,295.364,298.39,301.885,304.828,308.903,302.127,297.617,297.315,297.861,297.256,293.93,291.105
2014,293.394,296.273,300.974,305.459,307.257,306.354,300.984,298.728,298.127,298.047,293.875,291.899
2015,293.473,297.104,301.007,302.919,308.298,302.56,300.239,298.22,298.166,298.898,295.752,294.301
2016,293.523,299.471,302.972,307.058,308.047,304.127,298.298,297.926,297.45,295.854,292.955,291.558
2017,293.178,295.812,301.394,304.473,308.024,303.01,299.2,297.99,297.907,297.342,295.0,292.719
2018,293.247,297.055,301.677,305.957,308.289,303.545,298.743,297.893,297.803,298.265,296.101,294.784
2019,293.974,299.368,303.798,307.465,306.979,305.802,299.464,298.062,297.968,296.867,295.898,294.734
2020,296.641,297.25,300.913,305.392,307.746,302.833,298.73,298.031,298.148,297.125,295.385,292.895
2021,296.086,296.346,301.594,304.954,306.669,302.568,299.228,298.394,297.913,297.174,296.147,293.572
2022,293.734,297.156,301.686,305.683,308.044,304.937,297.81,297.706,297.617,295.733,293.456,294.581
2023,295.372,295.8,300.115,303.856,305.927,305.036,298.294,297.839,297.661,297.447,296.663,293.34
