Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,291.282,293.725,298.457,305.135,307.82,305.707,298.857,298.731,298.899,299.337,294.6,291.271
1981,290.607,294.06,299.116,304.433,308.16,306.983,298.405,298.23,298.259,298.181,293.139,291.761
1982,292.355,293.843,298.092,303.171,306.233,306.114,300.467,298.087,298.429,297.908,295.899,293.204
1983,290.934,292.52,298.249,302.288,307.945,306.663,299.566,298.446,298.518,296.645,293.217,291.972
1984,291.32,291.675,300.59,304.289,307.298,304.438,298.947,297.868,296.97,297.585,294.044,291.853
1985,291.529,293.476,301.318,303.835,308.074,305.45,298.826,298.023,299.118,297.116,295.15,292.525
1986,292.156,293.739,299.409,304.709,307.223,305.662,300.398,297.875,299.276,298.052,294.758,290.632
1987,292.097,294.469,300.261,304.853,307.244,306.298,299.406,298.83,299.583,299.061,295.325,292.608
1988,292.799,295.0,298.747,305.619,308.519,307.074,299.712,298.294,298.907,297.906,294.215,291.73
1989,289.404,293.364,298.595,303.201,307.062,304.81,299.048,298.161,299.013,298.586,295.658,291.088
1990,293.444,294.046,297.17,303.601,308.206,305.402,298.496,298.511,297.76,298.136,294.752,292.266
1991,290.084,294.51,299.513,303.811,307.739,307.495,301.519,298.137,298.606,297.74,294.483,291.29
1992,290.923,292.482,299.054,302.749,306.92,306.906,301.077,298.117,297.46,297.375,293.341,291.642
1993,290.988,294.437,297.352,303.517,307.905,304.579,299.752,299.054,298.732,299.051,295.095,291.107
1994,293.039,292.451,300.029,303.596,308.044,304.39,298.11,297.806,296.959,297.047,294.127,289.398
1995,289.171,293.476,297.797,302.107,306.148,307.173,299.718,297.764,299.045,298.237,293.672,291.901
1996,291.628,294.722,300.78,303.803,306.612,305.807,300.802,298.709,298.431,296.986,293.34,290.596
1997,289.543,291.876,299.129,302.085,305.353,302.636,299.298,297.906,298.143,295.696,294.87,290.86
1998,290.715,292.766,298.251,304.501,307.917,306.62,299.646,298.926,298.89,297.452,294.685,291.346
1999,289.857,295.736,299.092,303.989,306.587,304.85,299.65,298.332,299.139,297.233,294.194,290.954
2000,291.066,292.042,298.205,305.463,307.488,306.508,299.321,299.15,298.579,299.013,294.2,291.2
2001,291.048,294.428,299.423,303.563,307.151,304.428,298.53,298.405,299.344,298.222,294.744,291.895
2002,289.408,294.086,299.619,303.872,308.489,306.591,299.687,298.464,298.003,299.022,295.165,292.259
2003,292.147,294.64,298.902,304.718,305.802,304.623,298.514,297.721,297.8,297.172,295.703,292.214
2004,291.765,293.914,300.669,305.055,307.306,304.768,299.976,298.0,298.375,296.656,296.009,293.076
2005,290.51,293.701,299.882,302.026,306.753,305.975,298.838,298.271,298.805,297.635,294.799,290.913
2006,291.67,297.986,298.701,304.012,307.918,304.584,299.15,297.847,298.072,298.849,295.565,293.202
2007,291.509,296.089,298.354,305.443,307.779,304.847,298.966,298.358,298.32,296.628,295.362,292.832
2008,291.12,292.103,301.033,304.039,307.049,302.619,299.671,298.318,298.043,298.382,295.117,294.008
2009,293.682,295.692,300.085,303.849,309.141,307.21,299.151,298.506,298.932,298.303,295.739,293.919
2010,292.351,295.356,301.515,305.882,308.916,307.232,299.855,298.775,298.065,299.335,295.367,290.914
2011,289.976,294.64,299.318,303.691,307.515,306.329,299.743,298.508,297.761,298.474,297.048,291.32
2012,290.372,293.313,298.323,305.573,307.578,306.34,301.423,298.779,298.193,299.018,294.881,292.838
2013,290.886,295.099,299.045,303.827,308.404,305.755,299.687,298.502,299.388,297.351,292.967,290.732
2014,291.462,293.384,298.928,304.677,307.723,307.067,301.807,299.0,297.926,298.957,295.747,290.558
2015,291.159,295.89,298.957,303.879,308.305,303.668,299.506,298.181,298.594,298.968,296.287,289.815
2016,290.291,294.709,300.365,302.645,307.471,305.534,299.72,297.524,298.609,296.944,293.586,291.227
2017,291.537,294.391,299.192,303.574,307.912,305.853,298.844,298.438,298.736,299.227,294.254,292.472
2018,291.794,295.168,300.336,305.382,308.544,305.155,299.698,298.83,297.792,298.417,294.556,290.096
2019,290.141,294.246,298.453,305.392,307.021,307.148,300.376,298.733,298.921,297.98,296.85,291.952
2020,291.302,294.065,297.806,305.418,308.571,306.747,300.857,298.979,299.673,298.678,294.08,291.414
2021,292.291,294.497,300.119,303.501,305.61,305.857,301.217,299.773,298.782,297.507,294.545,291.202
2022,289.188,293.321,300.658,305.553,307.662,306.159,298.819,298.394,298.56,296.832,292.468,291.065
2023,289.995,294.424,297.9,301.009,304.81,301.994,299.503,298.025,298.548,297.948,294.778,292.052
