Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,288.751,290.594,296.547,303.861,308.196,303.244,297.943,297.761,296.813,294.841,291.281,288.249
1981,287.404,291.428,296.634,302.29,307.264,305.15,298.124,297.632,297.041,294.529,290.24,288.086
1982,290.093,291.868,296.274,302.473,306.159,307.248,301.483,297.558,296.886,295.105,292.747,288.839
1983,288.059,289.96,296.376,301.741,306.75,305.563,298.715,297.684,297.123,294.373,290.683,289.482
1984,289.473,289.755,297.055,303.546,307.917,304.862,297.933,297.219,296.1,294.903,289.818,288.289
1985,289.291,290.956,297.628,303.015,307.436,307.359,299.509,297.423,296.677,293.763,291.182,288.724
1986,289.225,291.025,296.794,303.133,305.614,304.634,298.536,297.238,296.366,294.361,291.882,288.677
1987,289.012,292.202,298.264,303.208,306.67,307.813,300.637,298.29,297.018,295.228,292.192,288.867
1988,288.991,292.937,297.394,303.959,308.293,306.912,300.024,297.877,297.715,294.487,290.833,289.018
1989,286.446,290.392,296.581,300.929,305.988,305.435,298.801,297.534,297.119,294.704,292.06,288.633
1990,290.204,292.531,296.726,302.102,308.279,305.616,298.097,297.607,296.919,295.038,291.554,288.944
1991,287.593,293.743,297.263,301.724,307.237,305.456,301.046,297.618,296.633,294.654,291.224,288.836
1992,288.029,289.671,297.376,302.087,305.062,306.388,300.965,297.411,295.961,295.059,291.386,287.195
1993,287.245,291.089,295.222,301.767,307.992,304.876,299.171,297.623,296.605,294.671,291.146,287.163
1994,289.872,290.481,297.322,301.729,306.894,305.167,297.771,297.393,295.785,294.275,290.618,285.914
1995,286.671,291.537,296.847,301.411,305.647,307.421,300.28,297.543,296.657,294.744,290.748,288.192
1996,288.815,292.502,299.116,301.631,305.956,306.417,300.06,297.323,296.741,294.426,289.775,285.078
1997,287.196,288.695,297.196,300.689,304.28,304.79,298.444,297.378,296.591,293.31,292.721,289.148
1998,288.019,291.95,295.559,303.661,307.64,306.532,299.03,298.049,297.253,295.37,291.98,287.579
1999,287.47,293.369,296.424,302.518,307.486,304.457,299.234,297.441,296.66,294.662,290.712,288.028
2000,288.46,290.596,296.069,303.514,308.093,304.727,297.99,297.443,296.203,295.488,291.133,286.407
2001,287.49,291.734,296.796,301.92,307.689,301.889,297.761,297.811,297.106,295.644,292.017,288.0
2002,288.733,292.883,297.53,302.586,306.683,305.567,300.514,297.49,296.064,295.232,291.452,288.99
2003,288.377,293.067,296.77,303.291,305.039,304.415,298.142,297.568,297.08,294.648,291.648,289.132
2004,289.895,291.233,298.52,304.2,307.521,303.912,299.176,297.671,297.462,293.804,290.727,288.75
2005,288.979,293.084,299.065,300.789,305.327,305.36,298.029,298.043,297.309,295.08,290.528,287.616
2006,288.532,294.924,296.624,302.899,307.836,304.959,298.084,297.45,297.193,296.094,292.323,289.343
2007,287.81,293.277,296.657,303.833,307.312,304.508,298.846,297.85,297.27,294.436,291.571,288.886
2008,288.609,289.683,298.952,302.037,306.282,302.252,299.017,297.828,296.93,294.89,292.1,289.41
2009,291.301,293.147,297.813,302.189,306.759,306.787,298.493,298.146,297.24,295.029,291.313,289.422
2010,288.794,292.876,300.339,304.986,308.038,307.831,299.538,298.3,297.282,296.2,293.962,288.233
2011,287.088,292.235,297.5,301.977,307.988,305.114,299.041,297.857,297.201,295.086,292.102,286.986
2012,288.592,291.927,296.431,303.271,305.942,308.291,300.114,297.942,297.558,296.508,291.628,288.682
2013,288.192,293.495,297.976,303.942,308.046,304.388,299.094,297.682,297.847,295.22,290.318,287.17
2014,288.728,291.383,297.259,303.447,308.105,309.074,301.791,298.006,296.908,296.052,291.676,286.731
2015,288.127,293.713,296.123,303.295,308.406,305.028,300.236,297.942,297.745,297.173,294.781,287.46
2016,287.664,293.335,299.057,305.777,308.04,306.401,298.514,297.603,297.785,295.457,291.192,286.917
2017,289.094,292.708,298.104,305.349,308.163,306.059,298.477,298.147,297.996,297.167,291.39,288.955
2018,287.471,293.396,299.277,303.973,308.266,307.645,299.762,298.148,297.257,296.806,293.002,287.977
2019,288.778,293.822,297.587,304.668,308.195,308.083,300.48,298.282,297.893,295.904,293.945,287.853
2020,288.791,291.296,297.199,302.642,307.68,304.652,299.776,298.346,298.196,297.327,292.089,287.635
2021,288.919,292.842,299.859,303.22,305.557,305.736,301.955,298.13,297.836,295.803,291.161,287.644
2022,286.703,290.511,299.049,306.27,307.986,306.072,298.469,297.92,297.789,295.042,289.016,287.02
2023,287.711,290.928,296.491,301.683,304.443,305.161,298.648,297.269,297.605,296.096,293.246,289.148
