Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,272.051,273.963,274.945,279.866,285.803,288.365,290.334,289.702,285.066,278.016,276.107,275.036
1981,272.25,274.807,274.991,279.572,285.682,286.908,290.747,289.63,284.639,278.114,274.939,273.963
1982,272.156,273.102,275.305,277.7,281.603,284.917,290.161,289.723,283.435,278.212,276.268,274.057
1983,271.647,272.84,274.54,277.879,283.024,285.469,287.714,290.442,285.735,278.081,275.311,274.435
1984,271.41,272.255,276.366,278.804,284.725,290.143,290.074,290.801,282.776,277.574,275.706,273.474
1985,271.85,274.465,275.851,279.271,283.717,287.379,289.945,290.339,285.141,278.147,276.197,275.477
1986,271.865,274.201,274.785,278.64,282.224,286.443,290.409,290.281,284.042,277.479,276.293,274.334
1987,273.29,275.295,275.938,279.503,280.385,285.661,289.088,289.94,285.6,278.674,276.302,275.546
1988,272.636,274.676,275.525,279.424,284.797,287.994,291.484,289.271,284.732,278.077,274.922,275.837
1989,270.865,272.116,275.279,277.034,284.682,285.512,289.361,287.869,285.292,278.179,275.847,275.295
1990,273.417,274.178,274.975,277.716,286.793,288.996,290.804,290.188,285.582,277.606,275.48,274.18
1991,271.091,273.657,275.525,277.131,283.225,286.711,290.394,289.804,285.302,277.648,275.476,275.215
1992,273.105,273.034,274.345,278.339,281.391,286.984,289.175,289.722,283.249,277.319,275.454,274.492
1993,270.38,276.027,274.404,279.503,285.069,286.789,288.7,289.213,284.815,277.657,276.4,275.003
1994,272.001,272.589,275.907,276.428,284.247,288.596,290.884,290.416,282.261,277.254,275.286,273.546
1995,270.772,272.22,273.442,275.562,281.697,287.673,289.771,288.381,282.806,278.351,275.997,272.674
1996,270.975,273.063,275.51,277.146,279.488,286.933,289.076,290.212,286.599,280.279,274.787,272.807
1997,270.704,272.289,274.692,278.539,283.951,286.144,290.227,288.24,286.031,279.44,275.23,272.816
1998,272.479,273.5,274.008,280.15,286.468,289.282,290.215,290.315,287.335,281.506,277.509,275.375
1999,272.482,272.706,276.715,282.099,286.296,287.909,291.198,290.215,287.952,281.395,277.779,274.305
2000,273.487,272.254,276.083,281.71,288.054,289.033,289.919,289.758,286.135,283.046,277.899,274.925
2001,272.17,274.071,276.679,281.569,286.422,288.859,291.845,290.135,285.495,281.276,277.643,274.344
2002,273.072,272.008,277.077,281.981,286.263,289.272,289.425,289.467,285.134,280.485,277.674,274.477
2003,273.679,273.633,273.199,281.417,283.583,288.579,290.197,289.424,287.017,281.306,275.99,274.035
2004,272.277,275.152,279.545,282.598,285.933,288.402,289.407,289.416,287.238,280.033,277.492,275.442
2005,272.347,273.682,277.77,280.485,283.342,288.288,289.646,289.678,287.904,282.264,277.142,274.51
2006,273.173,278.266,278.289,281.034,287.961,289.937,291.736,290.573,287.509,283.556,277.944,274.195
2007,272.942,275.386,277.718,282.867,286.131,289.743,290.471,290.582,287.132,281.775,280.275,274.042
2008,271.209,271.926,279.386,281.591,286.269,292.866,292.554,290.332,286.232,282.954,279.349,276.248
2009,274.787,275.625,278.779,281.746,284.905,287.878,291.005,290.41,287.278,281.956,277.671,274.178
2010,274.762,275.354,280.192,283.372,285.797,287.917,291.064,291.139,286.875,283.4,277.816,274.397
2011,271.377,275.152,278.536,280.684,286.589,291.874,292.041,290.947,288.159,282.851,279.739,274.512
2012,270.929,272.958,277.351,281.614,284.66,290.188,291.872,291.301,288.121,282.412,278.188,275.0
2013,272.869,275.972,279.912,282.122,286.362,290.352,292.347,291.012,288.028,284.119,278.183,274.577
2014,271.807,273.874,278.158,281.481,284.96,290.253,291.901,290.316,287.722,283.243,278.219,274.099
2015,273.634,276.515,275.803,282.462,286.335,288.377,292.51,291.087,286.879,282.176,278.513,274.442
2016,274.116,275.442,279.805,282.613,287.364,291.478,291.64,290.281,288.462,284.036,280.04,278.077
2017,273.291,276.193,278.111,282.915,286.908,289.498,291.681,290.691,287.801,284.145,279.028,275.846
2018,274.244,276.428,279.565,282.952,286.044,290.161,292.214,291.829,287.347,280.62,278.382,274.134
2019,272.955,272.755,277.505,283.539,285.26,288.88,291.464,290.813,288.991,283.11,275.939,273.566
2020,272.302,274.822,274.901,276.972,285.092,287.779,289.618,289.969,285.716,282.243,275.668,271.882
2021,271.888,272.898,274.031,273.95,274.8,286.333,290.068,288.116,286.853,282.23,273.283,271.296
2022,271.164,271.627,274.091,274.574,284.232,288.62,291.706,290.415,289.656,284.207,279.309,276.114
2023,273.469,277.781,279.595,273.85,278.307,275.038,275.728,275.269,274.941,273.974,273.332,272.194
