Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,295.888,298.605,301.764,304.923,307.298,300.848,297.874,297.86,298.572,298.014,296.764,295.936
1981,296.532,298.259,301.984,305.314,305.76,300.982,298.292,297.379,297.469,297.034,296.04,295.14
1982,295.415,299.733,302.521,304.824,305.402,302.856,299.975,298.096,298.776,296.979,296.614,295.095
1983,296.204,300.669,303.472,306.237,307.235,303.094,299.156,298.267,298.176,297.416,295.76,296.272
1984,297.5,297.71,301.291,303.519,307.398,301.157,298.121,298.377,297.658,297.551,296.012,295.01
1985,296.617,299.747,302.361,306.374,306.045,301.472,298.387,297.976,298.512,296.869,295.823,295.574
1986,295.503,298.099,302.672,305.355,306.731,302.268,299.959,298.836,299.061,298.391,296.344,296.016
1987,295.655,297.451,301.454,305.843,305.754,302.307,300.732,298.973,299.613,297.3,296.166,295.883
1988,295.739,299.623,303.587,303.981,307.791,302.692,298.435,298.191,297.873,298.014,296.215,295.712
1989,296.115,297.75,301.223,305.157,306.89,301.351,299.337,298.084,298.059,298.156,296.251,295.683
1990,295.592,299.286,302.255,305.208,304.527,302.149,299.231,298.098,298.065,297.442,296.384,295.74
1991,296.794,298.698,302.878,305.238,307.255,301.362,299.443,298.209,298.296,298.051,295.257,295.105
1992,293.645,299.521,302.358,304.791,306.832,303.336,300.358,298.284,298.419,297.32,295.839,294.072
1993,294.996,297.78,301.898,304.883,307.503,302.73,299.489,299.445,298.859,297.072,295.944,295.654
1994,295.669,298.471,302.065,304.455,306.826,301.973,299.263,298.903,298.519,296.854,295.293,293.234
1995,295.541,299.148,301.452,304.159,304.488,304.708,300.328,298.459,298.967,297.32,296.118,294.132
1996,295.414,297.507,301.995,303.623,306.742,302.758,299.353,298.049,298.058,296.959,296.019,294.633
1997,295.337,298.415,302.413,302.138,305.244,303.717,299.16,298.839,298.364,297.375,296.514,296.991
1998,297.556,300.236,302.707,305.201,306.095,303.869,299.222,299.071,298.607,297.505,296.793,295.547
1999,295.617,297.646,303.156,305.645,305.068,302.815,299.512,299.286,299.799,297.401,296.091,295.1
2000,296.886,299.159,302.551,306.174,305.942,302.043,299.765,298.366,298.459,297.54,296.143,294.129
2001,295.787,299.773,302.503,303.154,306.419,302.623,299.637,299.249,299.069,297.656,296.18,294.684
2002,296.857,297.443,302.139,304.588,306.769,302.847,301.105,300.077,300.142,297.737,296.258,295.267
2003,296.423,299.76,301.887,304.857,307.155,304.18,299.14,299.034,299.498,297.784,296.765,295.769
2004,295.958,298.169,301.775,305.144,303.234,302.051,299.132,299.183,298.927,297.063,296.259,295.27
2005,296.645,299.133,301.844,304.198,305.853,303.823,299.253,299.083,298.36,297.671,295.32,295.135
2006,295.783,297.837,301.944,305.067,306.277,302.294,299.479,299.162,298.465,297.903,296.407,295.171
2007,295.831,298.591,302.165,304.566,307.268,302.56,299.8,299.773,298.403,298.009,296.387,295.986
2008,296.812,298.631,300.4,303.79,307.365,303.113,300.807,298.946,299.197,297.529,296.958,295.806
2009,296.194,299.166,302.294,306.174,307.094,303.933,300.418,300.029,299.665,298.411,297.391,296.656
2010,297.312,299.338,303.576,305.435,305.925,303.922,300.034,298.772,298.507,297.99,296.758,295.174
2011,295.059,297.725,301.335,301.668,305.375,301.969,300.407,299.312,299.008,298.486,297.116,294.695
2012,296.908,299.506,302.841,306.15,307.624,303.673,300.837,300.169,299.871,298.911,296.711,295.99
2013,296.037,297.172,301.635,301.688,306.397,301.437,299.218,299.57,298.983,298.156,296.147,293.767
2014,294.633,297.199,300.289,304.098,305.559,304.632,301.151,300.23,300.025,298.814,295.771,294.639
2015,294.529,296.893,300.656,301.002,304.735,302.977,301.746,300.437,299.605,299.09,296.478,295.324
2016,294.848,299.228,302.552,304.623,304.721,301.717,299.51,299.69,299.263,298.596,295.831,294.496
2017,294.975,296.628,301.415,305.857,305.349,303.002,300.59,299.287,298.886,298.067,296.537,295.424
2018,295.476,297.621,302.057,305.127,305.81,301.93,300.647,300.135,299.465,297.993,296.742,296.537
2019,294.827,298.954,302.965,305.73,307.159,303.838,300.957,299.227,298.53,297.652,297.244,296.41
2020,297.527,298.686,301.154,303.991,306.385,302.602,298.965,299.08,298.472,297.951,296.469,294.669
2021,296.577,297.392,301.438,303.333,304.193,301.725,299.344,299.603,299.39,298.165,296.871,295.579
2022,296.816,298.139,302.144,304.408,305.837,303.879,299.288,298.944,298.658,297.365,295.707,295.754
2023,295.41,297.59,299.185,302.147,304.344,303.967,299.898,299.994,298.591,298.517,297.392,295.858
