Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,296.025,298.152,300.784,305.64,307.443,298.257,296.312,295.972,295.853,297.0,295.954,293.958
1981,294.175,297.327,300.373,305.004,306.912,301.254,296.398,295.747,296.209,295.779,294.08,294.095
1982,295.933,298.295,300.75,304.244,306.842,300.693,297.032,295.805,295.682,295.628,296.218,294.623
1983,294.799,296.752,301.606,304.55,307.213,301.417,296.843,296.387,296.228,295.395,293.894,294.986
1984,295.904,297.346,302.772,305.637,306.395,298.717,296.425,295.655,295.702,295.869,293.666,294.712
1985,297.041,297.808,302.161,304.865,306.173,299.227,296.066,295.512,296.068,294.821,294.364,294.801
1986,294.698,297.941,302.212,304.777,305.941,299.894,296.271,295.544,296.33,296.731,295.173,294.778
1987,295.603,297.54,301.203,304.976,306.469,300.248,296.576,296.21,296.699,296.066,295.204,294.421
1988,296.853,297.934,301.569,306.055,307.804,300.499,296.628,296.511,296.725,295.394,294.649,293.822
1989,294.773,295.221,300.997,304.457,306.639,299.027,296.425,295.663,296.054,296.581,296.044,293.835
1990,294.874,297.564,300.851,304.153,305.17,299.119,295.888,295.987,295.809,295.679,295.774,294.005
1991,295.241,298.227,301.352,305.214,307.497,299.543,296.413,295.65,296.071,296.478,295.253,293.465
1992,293.071,295.923,300.509,305.02,306.31,302.67,298.063,295.764,295.728,295.426,295.276,292.806
1993,293.834,296.059,299.93,304.184,306.432,300.699,296.662,295.994,295.665,296.206,294.937,293.201
1994,295.682,297.265,300.732,303.851,307.28,299.071,296.044,295.456,295.425,295.577,294.68,291.361
1995,293.175,297.703,301.328,304.457,305.506,302.245,297.186,296.486,296.073,295.56,294.98,293.758
1996,296.063,298.398,301.896,305.025,306.437,300.935,297.233,295.783,295.959,295.338,293.914,292.737
1997,292.89,294.574,301.692,303.99,305.924,300.558,296.617,295.956,296.23,295.652,295.644,296.207
1998,296.294,297.593,301.859,305.936,308.194,302.119,296.985,296.78,296.373,295.946,295.19,292.668
1999,292.961,299.256,301.185,304.382,305.615,299.768,296.43,295.936,295.907,295.859,294.698,293.709
2000,295.185,296.94,300.484,305.834,304.656,299.752,296.04,296.017,295.96,296.913,295.044,292.236
2001,295.017,297.343,301.476,304.193,305.323,299.697,296.53,295.962,296.443,296.23,295.386,293.955
2002,294.341,298.411,301.565,304.673,307.108,301.587,296.607,296.16,296.491,296.943,295.659,294.613
2003,295.87,298.926,301.176,305.776,305.767,301.688,296.539,296.027,295.785,296.266,295.729,294.017
2004,295.382,297.382,301.464,305.458,305.526,299.852,296.788,295.924,296.509,295.681,295.44,293.257
2005,294.679,298.656,300.835,304.53,306.394,302.184,296.772,296.472,296.406,295.774,293.996,293.548
2006,294.108,298.434,300.367,304.647,306.728,300.655,296.429,296.106,296.67,295.989,294.995,294.284
2007,294.309,298.038,300.856,304.915,306.606,301.474,297.104,296.227,296.513,295.925,295.408,295.151
2008,294.185,296.282,300.568,304.041,306.173,299.548,296.996,296.454,296.053,296.058,295.894,294.887
2009,296.556,299.681,302.13,304.719,307.481,302.916,296.529,296.709,296.945,296.414,295.877,295.216
2010,295.099,298.952,303.717,305.03,307.683,301.486,297.022,296.764,296.663,296.157,295.781,293.967
2011,293.279,296.252,301.333,303.246,306.315,299.271,297.119,296.535,296.235,296.492,295.509,292.046
2012,294.358,298.102,299.834,304.728,306.501,301.008,297.046,296.633,296.455,296.288,295.893,295.322
2013,295.884,299.0,301.674,304.851,307.898,298.916,296.209,295.959,296.4,296.218,293.881,291.595
2014,294.479,295.772,300.337,305.089,306.436,302.621,298.02,296.843,296.496,296.585,293.858,292.397
2015,294.187,297.109,300.711,302.122,307.547,300.233,297.614,296.823,296.752,298.16,295.908,294.18
2016,293.577,298.907,302.638,305.933,306.939,301.538,296.731,296.027,295.962,295.179,293.015,291.963
2017,293.552,296.686,300.495,303.879,306.546,299.362,297.086,296.529,296.619,296.462,295.013,293.431
2018,293.81,297.342,301.316,305.784,306.932,300.201,296.935,296.167,296.303,297.255,295.867,294.371
2019,293.523,298.807,301.945,306.347,305.879,302.014,297.588,296.774,296.947,296.0,295.609,295.485
2020,296.294,297.941,301.094,305.573,307.545,300.076,297.633,296.963,297.054,296.527,295.152,293.462
2021,297.129,297.261,302.417,303.897,304.748,299.12,297.865,296.987,296.812,296.13,295.718,294.219
2022,293.827,297.22,301.652,304.777,305.844,301.96,296.649,296.472,296.444,294.932,293.623,294.976
2023,295.286,296.142,299.654,303.247,305.014,301.678,297.041,296.148,296.379,296.497,296.445,293.74
