Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,275.555,278.267,278.406,287.474,292.636,293.599,293.252,291.734,288.861,283.344,280.337,279.272
1981,276.392,278.877,278.934,287.69,292.102,293.894,293.381,291.809,289.065,283.238,279.012,277.27
1982,276.996,276.8,278.793,284.318,289.094,292.806,293.83,292.072,288.946,283.719,280.139,278.21
1983,275.965,276.107,278.619,284.193,290.529,291.898,291.887,292.234,290.022,283.173,279.324,277.809
1984,275.091,276.213,280.711,286.437,293.145,295.947,292.698,292.547,288.114,282.816,279.373,277.17
1985,275.676,278.519,280.594,286.761,291.807,294.373,292.583,292.185,289.297,283.569,279.862,279.891
1986,276.18,277.191,278.781,286.161,290.453,294.099,293.345,292.094,288.349,282.912,280.527,277.659
1987,277.112,278.869,279.901,287.036,288.551,292.903,293.638,292.399,290.02,283.436,280.349,280.025
1988,277.689,279.072,279.679,287.174,292.707,294.864,293.591,291.734,289.959,282.871,278.748,279.431
1989,275.45,275.867,279.064,284.608,291.646,293.058,293.296,291.079,289.496,283.51,279.545,278.146
1990,278.481,278.113,278.599,286.124,293.234,295.076,293.494,292.094,289.826,282.966,279.777,278.058
1991,274.989,278.116,279.371,285.095,291.574,294.103,294.415,292.484,289.424,282.876,279.302,279.124
1992,277.809,276.168,278.285,285.867,290.056,293.74,292.699,291.769,288.471,283.489,279.676,278.674
1993,274.902,279.749,278.349,285.604,292.687,294.334,292.14,291.999,289.202,283.218,280.334,278.719
1994,276.627,276.644,280.622,283.834,291.697,294.642,293.26,292.393,288.342,282.78,279.581,277.55
1995,274.278,277.126,280.543,284.197,289.19,292.709,292.545,291.373,288.364,283.608,280.29,276.513
1996,274.929,278.62,282.674,285.648,288.842,292.958,292.582,292.047,289.263,283.765,279.269,277.398
1997,275.365,275.979,281.483,285.444,288.914,291.993,293.028,291.74,289.474,282.521,278.915,276.531
1998,275.949,277.79,280.123,286.341,291.136,293.229,292.685,292.419,290.357,284.946,280.627,278.049
1999,276.918,279.347,282.447,287.248,290.601,293.265,294.256,292.218,290.413,285.438,281.956,278.656
2000,277.258,275.491,280.199,285.76,292.317,292.688,292.447,292.005,289.266,286.71,281.734,278.006
2001,275.789,278.211,281.066,285.52,290.835,293.663,294.02,292.033,288.812,285.92,280.777,277.615
2002,276.501,277.609,282.057,285.988,290.171,292.263,293.167,292.146,287.819,283.959,281.357,277.929
2003,277.039,277.958,280.665,285.931,288.074,292.42,291.986,291.497,289.621,285.198,280.369,277.547
2004,276.76,278.375,284.133,288.574,291.535,293.568,293.394,291.722,290.059,283.982,280.079,279.441
2005,275.39,277.842,282.057,284.497,287.865,292.579,292.858,291.956,290.535,285.666,280.878,277.465
2006,276.513,281.511,281.338,285.537,292.683,292.571,294.279,292.559,289.709,286.074,281.004,277.761
2007,275.588,278.233,280.874,286.523,291.596,294.543,293.112,292.539,289.749,285.012,283.213,277.332
2008,274.378,276.481,282.73,285.084,290.049,296.81,294.467,292.13,288.57,285.586,282.869,280.093
2009,278.199,279.289,282.322,285.75,290.309,293.482,294.074,292.313,289.591,285.221,280.676,277.056
2010,277.555,278.363,283.578,287.676,291.231,292.814,293.571,292.754,289.676,285.777,280.964,277.351
2011,274.909,278.225,281.87,284.868,290.81,294.382,294.124,292.704,290.508,286.061,283.474,277.288
2012,273.888,276.378,281.221,285.6,289.901,294.365,294.642,293.51,290.829,285.274,281.586,278.378
2013,276.045,278.992,283.084,286.348,291.803,294.974,295.052,293.373,290.536,287.517,281.041,277.61
2014,276.461,276.907,280.847,284.775,289.049,294.151,295.447,293.218,290.414,286.177,282.238,277.429
2015,276.743,279.772,281.115,285.934,290.587,292.043,294.354,292.703,289.644,285.919,281.908,277.387
2016,276.794,278.767,283.218,286.805,292.683,295.997,293.765,292.753,290.596,287.033,283.639,281.562
2017,276.443,279.367,281.75,287.207,291.092,293.94,294.385,292.833,290.35,287.199,281.695,278.591
2018,277.441,279.747,283.019,287.332,291.046,295.188,294.256,293.469,290.545,284.54,281.717,277.094
2019,276.754,277.97,281.007,287.551,290.112,294.087,294.388,293.101,291.526,286.138,282.09,277.107
2020,276.138,278.765,280.255,285.098,289.745,292.057,292.67,292.13,289.79,285.815,279.777,276.448
2021,277.069,279.691,283.131,285.158,288.464,291.895,293.336,291.908,290.446,286.133,280.743,277.146
2022,274.335,276.632,283.126,288.353,291.243,292.912,294.598,293.049,291.33,286.385,283.339,279.569
2023,277.422,282.275,284.076,281.893,286.586,290.919,291.948,289.578,288.685,284.205,281.533,277.763
