Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,284.813,289.318,291.725,300.257,306.264,306.176,301.772,299.624,297.636,293.899,289.94,287.81
1981,286.337,289.86,292.612,300.408,306.028,306.662,301.837,299.358,297.584,293.098,288.934,286.378
1982,286.784,288.057,292.064,297.54,302.509,306.266,303.5,299.682,298.022,294.442,290.622,287.51
1983,286.076,287.001,291.992,297.041,304.981,305.625,301.004,299.466,298.041,293.473,289.688,286.938
1984,285.605,286.703,294.061,300.033,306.607,307.782,300.747,299.22,296.643,292.942,288.943,287.305
1985,285.118,289.068,294.152,299.64,305.874,306.294,300.829,299.396,297.737,293.227,289.775,288.9
1986,286.289,287.426,292.522,299.728,304.852,306.657,301.825,299.674,297.633,293.422,291.109,286.369
1987,287.029,290.53,293.77,300.295,303.233,306.435,304.502,300.617,298.906,294.119,290.699,289.052
1988,287.301,290.267,292.812,300.23,307.039,307.504,302.068,299.018,297.932,293.274,289.384,288.729
1989,285.095,287.049,292.764,297.753,305.197,306.997,303.119,299.5,298.327,294.228,289.603,287.055
1990,288.301,289.018,291.494,299.42,306.49,307.163,301.905,299.33,297.861,293.127,289.991,287.161
1991,284.577,289.655,292.84,298.384,305.585,306.574,304.426,300.999,297.667,293.054,289.144,287.981
1992,287.237,287.3,292.806,298.811,304.534,306.621,301.271,299.196,297.017,293.981,289.502,287.782
1993,285.005,290.186,291.33,298.092,306.582,306.964,301.875,301.157,297.564,293.787,290.33,287.316
1994,287.066,288.07,293.886,297.793,305.996,307.322,301.724,299.349,296.543,292.927,289.388,286.156
1995,283.71,288.373,292.868,297.87,302.615,305.996,302.385,298.445,297.04,293.7,289.338,286.354
1996,284.986,290.143,295.957,298.995,303.11,305.489,302.83,300.167,297.142,293.411,288.474,285.73
1997,284.985,286.957,294.042,298.229,302.32,305.15,302.772,299.359,297.716,292.077,289.322,285.773
1998,285.506,288.7,292.024,299.901,304.993,306.101,301.508,299.985,298.506,295.083,290.366,286.895
1999,286.538,289.949,294.396,300.69,304.541,306.44,303.914,300.177,298.624,294.644,290.64,286.452
2000,287.04,286.311,292.879,299.627,305.515,305.098,301.598,300.367,297.987,295.562,290.719,286.722
2001,285.699,289.246,293.35,298.901,304.233,306.048,302.722,300.837,298.565,295.758,291.15,287.436
2002,286.431,288.711,293.717,299.155,304.358,305.788,304.75,300.745,296.994,294.685,291.19,288.037
2003,286.794,288.519,292.819,299.48,302.154,305.548,300.398,299.075,297.936,294.567,289.79,287.089
2004,286.753,288.862,295.633,301.738,305.211,305.024,303.836,299.518,298.141,293.335,289.795,288.688
2005,285.461,289.068,294.049,297.668,301.726,305.147,300.547,299.695,298.143,294.795,290.141,286.482
2006,287.441,292.797,292.939,298.559,305.965,304.487,302.201,299.47,297.544,295.728,291.197,287.774
2007,285.263,288.99,292.779,299.74,305.364,306.832,302.811,300.401,297.695,294.389,291.578,286.866
2008,285.197,287.342,294.64,297.832,303.93,307.466,303.647,299.84,297.671,295.657,291.864,289.245
2009,288.698,290.53,293.947,299.046,305.105,306.641,303.557,300.59,297.737,294.725,290.261,287.008
2010,287.765,290.066,295.762,301.064,305.836,306.484,302.749,300.127,297.824,295.055,290.817,286.119
2011,284.799,289.224,293.975,297.739,305.601,306.855,303.392,299.609,297.968,295.497,292.465,286.309
2012,284.001,287.258,293.032,299.075,303.775,306.374,304.882,301.493,298.721,295.758,290.751,287.616
2013,285.321,289.555,295.306,300.436,306.043,307.796,306.065,301.608,299.746,297.065,290.589,287.403
2014,286.975,288.611,293.085,298.285,303.687,307.375,305.863,302.161,298.793,296.229,291.617,286.755
2015,286.8,291.382,293.146,299.65,304.789,305.588,303.842,300.756,298.797,296.615,291.973,286.188
2016,286.78,289.499,295.277,300.287,307.161,307.906,303.781,301.144,298.851,296.754,292.424,289.516
2017,286.721,290.436,294.013,301.76,305.553,306.692,303.529,301.162,298.61,296.958,290.952,288.444
2018,287.758,291.508,295.68,300.789,305.139,307.295,304.798,302.356,299.173,296.015,291.922,286.565
2019,287.168,289.636,293.269,300.912,304.602,307.364,304.394,300.915,299.596,295.832,293.061,286.399
2020,286.269,289.369,292.735,298.623,303.88,305.821,303.139,299.881,298.66,295.66,290.504,286.234
2021,286.74,291.763,296.22,299.15,302.489,305.884,303.711,301.949,299.83,296.394,290.606,286.278
2022,284.7,288.474,296.8,303.248,305.713,305.692,302.125,299.71,298.637,295.137,290.436,286.906
2023,286.272,292.029,295.599,298.218,301.566,304.632,301.007,299.81,298.284,295.101,291.253,287.136
