Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,289.233,293.477,298.23,304.958,309.873,307.024,301.075,300.549,299.489,297.273,292.422,290.354
1981,289.429,293.434,298.543,304.599,309.912,307.587,301.874,300.64,299.682,296.603,291.834,289.245
1982,290.652,292.974,298.177,303.448,308.474,310.493,305.136,300.366,299.808,297.539,293.924,290.155
1983,288.751,291.246,297.722,302.961,309.727,308.801,302.009,300.351,299.702,296.766,292.008,290.286
1984,290.499,291.84,299.477,304.791,310.142,309.407,301.036,300.087,298.889,296.895,291.393,290.645
1985,289.341,293.011,299.892,304.966,309.836,310.68,302.505,300.322,299.436,296.467,292.963,291.479
1986,290.022,291.926,297.783,304.737,308.296,307.79,302.302,300.215,299.188,296.412,293.61,289.925
1987,290.215,293.406,299.163,304.613,308.554,311.28,305.539,301.597,299.841,297.39,293.351,290.49
1988,290.035,294.741,298.589,305.678,309.87,309.682,303.417,300.598,300.331,296.964,291.893,290.732
1989,288.823,292.438,298.71,302.914,308.615,308.818,303.032,300.242,299.821,296.703,292.565,289.529
1990,292.631,293.612,297.61,303.792,310.877,308.563,301.334,300.284,299.624,296.853,292.904,289.915
1991,288.547,294.961,299.15,303.605,309.523,309.679,304.656,300.608,299.393,296.521,292.364,290.398
1992,290.396,291.574,299.205,303.878,307.857,309.784,304.059,300.193,298.935,297.078,292.875,288.98
1993,290.011,292.985,296.883,302.89,309.473,309.22,303.036,301.237,299.211,297.15,292.674,288.884
1994,291.008,291.817,298.93,303.853,309.035,308.793,300.801,300.24,298.588,296.157,291.596,287.424
1995,288.303,293.557,298.417,303.094,308.083,309.83,303.67,300.298,299.403,297.151,292.389,289.925
1996,290.087,294.217,301.54,303.725,307.501,309.302,304.163,300.198,299.459,296.632,291.708,288.0
1997,288.773,291.856,298.978,303.454,306.606,308.666,303.148,300.422,299.359,295.524,294.092,290.591
1998,289.729,293.389,297.607,304.89,309.638,309.546,302.136,300.851,299.934,298.34,293.959,289.233
1999,289.902,295.252,298.602,304.523,309.626,308.284,303.376,300.398,299.479,297.23,292.862,289.418
2000,290.139,291.972,298.492,305.417,310.206,307.967,301.102,300.578,299.048,297.72,293.188,288.55
2001,289.455,294.321,298.957,303.931,309.741,306.326,301.114,300.898,300.1,298.321,293.331,289.558
2002,290.64,294.184,299.578,304.941,309.224,308.903,305.901,300.505,298.857,297.296,293.613,290.485
2003,290.345,294.344,299.251,305.764,307.565,307.923,301.362,300.614,299.817,297.014,292.953,290.885
2004,291.015,293.491,300.547,306.876,309.345,307.659,303.653,300.504,300.161,295.933,292.762,291.3
2005,290.98,295.152,301.053,302.641,307.271,308.761,300.969,301.101,300.102,297.621,292.558,289.361
2006,290.683,297.275,298.836,305.244,311.073,308.103,301.554,300.217,300.017,298.39,293.842,291.566
2007,290.169,295.031,298.763,306.064,309.374,309.043,302.409,300.792,300.074,296.771,293.154,290.717
2008,290.884,292.367,301.088,304.604,308.893,306.819,303.037,300.783,299.751,297.518,293.768,291.466
2009,293.458,295.461,299.931,304.891,309.567,309.135,302.584,301.38,299.98,297.507,293.361,290.229
2010,291.238,295.441,301.82,307.054,310.667,311.069,303.5,301.167,299.9,298.559,295.262,289.386
2011,289.39,294.418,299.707,304.109,310.061,308.338,302.284,300.643,300.095,297.806,294.531,288.499
2012,289.891,293.718,298.837,305.565,307.704,311.314,303.608,300.878,300.176,298.238,292.837,290.465
2013,290.026,294.999,300.894,305.706,309.539,309.035,303.84,300.701,300.872,298.376,292.839,289.85
2014,291.253,293.929,298.581,304.977,309.875,312.199,305.397,301.598,300.02,298.472,294.178,289.611
2015,290.701,296.179,298.367,305.104,310.12,309.796,304.386,301.094,301.101,299.29,296.262,289.534
2016,290.076,295.489,301.342,306.819,310.919,309.974,301.917,301.035,300.806,298.675,293.544,290.26
2017,291.252,294.754,300.181,307.742,311.279,309.652,302.222,301.236,300.863,299.656,293.238,291.248
2018,290.509,295.844,301.04,307.065,311.181,311.734,304.106,301.537,300.342,299.413,294.661,289.413
2019,291.135,295.805,299.595,307.184,310.356,311.969,305.123,301.282,300.823,298.429,295.772,289.435
2020,290.294,293.413,299.161,304.773,310.036,309.267,303.814,301.471,301.412,299.537,294.406,290.885
2021,291.959,296.202,302.121,305.408,308.51,310.525,305.606,301.713,300.815,298.618,293.446,290.321
2022,289.667,293.757,301.96,308.031,310.32,310.005,301.852,300.861,300.553,297.564,291.938,289.219
2023,289.616,294.106,299.381,304.301,306.677,308.177,301.606,300.585,300.692,298.726,295.646,290.787
