Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,292.751,295.765,299.457,304.006,304.444,303.66,299.31,299.223,300.337,301.265,298.115,294.282
1981,292.934,295.637,299.745,302.711,304.234,303.946,299.197,299.095,300.062,300.264,296.039,294.425
1982,294.19,295.513,299.229,301.504,303.854,303.885,300.21,298.675,300.119,301.853,298.938,295.806
1983,293.82,294.333,298.555,300.946,303.652,304.11,300.632,299.002,299.669,299.689,296.522,294.42
1984,293.062,294.02,300.712,303.61,304.398,302.048,299.591,298.513,298.95,299.517,297.223,294.025
1985,293.704,295.786,300.944,302.128,304.198,302.776,298.747,299.096,300.224,300.203,297.637,294.741
1986,293.886,295.89,299.656,302.924,303.935,303.099,299.944,298.663,300.327,300.033,296.976,293.191
1987,294.973,296.244,300.21,302.964,304.033,303.872,300.153,299.604,300.524,301.85,298.365,295.254
1988,294.796,296.245,299.107,303.333,304.568,303.628,299.593,299.021,300.159,300.482,297.179,294.343
1989,292.224,295.287,299.182,302.426,304.308,301.757,300.308,299.181,300.663,300.671,298.497,294.007
1990,295.301,296.122,298.435,302.308,304.754,302.876,299.112,299.017,299.191,300.732,298.06,294.607
1991,293.083,295.229,299.881,302.782,304.825,304.772,300.541,298.904,300.002,300.07,297.54,293.889
1992,293.382,295.014,299.224,301.733,304.35,304.278,300.674,298.799,299.475,299.676,297.518,294.417
1993,294.059,296.49,298.892,301.941,304.362,303.403,300.829,299.599,300.351,301.288,297.741,294.152
1994,294.732,294.923,300.988,301.723,304.301,302.004,299.035,298.831,298.873,299.749,298.23,292.85
1995,292.435,295.714,298.272,301.634,305.138,304.13,299.916,298.624,300.663,300.752,296.589,294.294
1996,293.646,295.718,300.811,302.446,304.165,303.176,301.092,299.163,300.143,299.897,295.692,293.483
1997,292.346,294.287,299.67,300.722,303.589,302.028,299.657,298.899,299.807,300.172,298.784,294.154
1998,293.943,295.359,299.941,303.581,305.692,304.428,300.283,299.85,300.684,299.943,297.451,294.185
1999,292.479,297.536,299.609,303.186,302.775,301.779,299.791,299.046,299.964,300.341,297.171,293.942
2000,293.269,294.868,299.112,303.18,303.304,303.811,299.704,299.562,300.059,301.038,297.221,294.203
2001,292.947,295.251,299.96,303.155,303.848,302.534,299.431,299.415,300.982,301.377,298.118,295.063
2002,292.145,295.332,300.3,302.376,304.585,304.023,299.861,299.076,299.519,301.678,298.287,294.341
2003,294.13,296.108,299.226,303.345,303.864,302.803,299.476,298.642,299.457,300.262,297.86,294.006
2004,293.495,295.71,301.225,302.901,304.874,302.063,299.436,298.471,299.663,299.858,298.759,295.277
2005,292.289,294.836,299.478,302.272,304.384,303.637,299.607,298.641,299.944,300.69,297.188,293.438
2006,292.737,298.632,299.914,302.485,304.657,303.449,299.881,298.451,299.486,301.626,298.132,294.98
2007,293.564,296.749,299.183,303.805,304.604,303.771,299.953,299.124,299.535,299.246,298.039,294.816
2008,292.648,293.765,300.72,302.48,303.272,301.215,299.314,298.92,299.969,300.937,297.816,295.921
2009,295.041,297.073,300.628,303.331,304.784,303.893,300.039,299.091,300.294,300.24,298.339,294.992
2010,293.997,295.449,300.728,303.562,305.359,305.019,300.064,299.451,299.719,301.72,298.079,294.039
2011,292.381,296.039,299.76,302.745,303.824,303.241,299.29,298.958,298.789,299.991,299.306,293.246
2012,291.882,293.931,298.188,302.309,303.832,303.026,300.413,299.262,299.258,300.816,297.511,295.464
2013,293.046,296.27,299.469,302.109,305.088,302.568,299.609,298.788,300.148,300.164,296.364,292.927
2014,292.711,294.307,298.48,302.146,303.939,303.699,300.639,299.39,299.37,300.573,298.435,293.363
2015,293.503,296.813,299.211,302.732,304.81,303.337,299.573,298.798,300.425,301.444,298.187,292.669
2016,292.761,295.155,300.001,301.45,304.065,303.527,299.469,298.439,299.718,298.896,296.408,293.88
2017,293.278,295.924,299.041,301.743,304.349,303.228,299.574,299.461,300.245,301.261,296.925,294.201
2018,293.769,296.37,300.115,302.179,304.333,302.677,299.792,299.289,299.543,300.197,297.498,292.727
2019,292.537,295.042,298.287,302.307,303.696,303.966,300.344,299.16,299.627,299.99,298.899,295.202
2020,293.033,295.854,298.23,302.844,304.82,304.509,301.004,299.73,300.632,300.293,296.673,293.456
2021,292.951,295.863,299.657,301.782,303.171,302.962,301.056,299.873,300.35,299.79,297.453,293.909
2022,291.997,294.324,300.039,302.703,303.754,303.283,299.309,299.066,299.447,299.569,295.588,294.094
2023,291.805,295.347,298.746,300.897,303.252,301.569,300.02,298.942,300.025,299.527,297.899,295.725
