Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,292.3,294.957,299.672,305.469,306.527,303.481,298.328,298.415,299.17,300.278,296.395,292.552
1981,291.662,294.624,299.461,303.918,306.475,305.034,298.336,298.058,298.591,298.659,294.122,292.984
1982,293.713,295.449,299.184,303.081,305.837,304.11,299.393,297.849,298.868,299.879,297.913,294.837
1983,292.182,293.66,298.935,301.983,306.066,304.985,299.715,298.393,298.543,297.702,294.365,293.378
1984,292.054,293.374,300.911,304.509,306.551,302.072,298.607,297.674,297.388,298.189,295.146,292.78
1985,293.259,294.78,301.649,303.623,306.627,303.386,297.892,297.87,299.256,298.421,296.039,293.403
1986,293.308,295.433,300.0,304.164,306.034,303.815,299.258,297.65,299.531,299.123,295.639,292.117
1987,293.883,295.235,300.508,304.451,306.413,304.482,298.91,298.464,299.5,300.615,297.049,294.185
1988,294.387,295.626,299.065,305.415,306.844,304.412,298.832,298.323,299.103,299.002,295.332,292.764
1989,290.611,294.35,299.454,303.243,306.404,301.702,299.025,297.839,299.44,299.73,297.287,292.466
1990,293.588,295.15,298.391,303.392,307.02,302.956,297.96,298.145,297.848,298.939,296.379,293.39
1991,291.302,294.694,299.519,304.184,307.264,305.932,300.05,297.72,298.776,298.453,295.988,291.603
1992,292.195,293.554,299.791,303.154,306.307,305.649,300.37,297.937,298.02,298.318,295.543,292.721
1993,292.3,295.285,298.244,302.912,306.573,303.452,299.64,298.54,298.919,299.793,295.819,291.918
1994,293.887,293.761,300.843,303.009,306.61,301.947,298.172,297.652,297.535,298.284,296.143,290.731
1995,290.987,294.823,298.476,302.333,306.528,305.051,299.222,297.726,299.119,298.763,294.784,293.257
1996,292.895,295.525,301.186,303.455,305.941,303.694,300.048,298.158,298.92,298.246,294.074,291.417
1997,291.009,292.984,299.969,302.018,305.251,301.972,298.77,297.944,298.443,298.733,297.427,293.692
1998,292.924,294.028,299.493,304.901,307.602,304.881,299.433,298.928,299.017,298.328,295.757,292.419
1999,290.582,297.515,299.62,304.639,304.787,302.135,298.947,298.038,298.596,298.216,295.181,292.443
2000,292.499,293.694,298.901,305.345,305.246,304.499,298.762,298.749,298.658,299.28,295.194,292.148
2001,292.095,294.848,300.042,304.126,305.698,302.534,298.531,298.374,299.762,299.502,296.153,293.336
2002,290.686,295.87,300.116,304.17,306.78,304.54,298.931,298.162,298.239,300.124,296.569,293.16
2003,293.587,296.156,299.285,304.882,305.662,303.192,298.628,297.934,298.106,298.497,296.915,292.857
2004,292.741,294.593,301.606,304.691,306.142,302.142,298.765,297.84,298.584,298.133,297.255,293.331
2005,291.338,294.756,300.424,303.05,306.447,304.446,298.745,298.238,298.977,298.975,295.645,291.679
2006,291.992,298.516,299.374,304.017,307.308,303.749,298.709,297.7,298.323,300.234,296.435,293.947
2007,292.415,296.435,298.763,305.481,306.989,304.338,298.807,298.419,298.774,297.726,296.632,293.622
2008,291.484,293.155,301.52,304.181,305.252,300.769,298.563,298.342,298.468,299.288,296.198,294.809
2009,294.501,296.928,301.118,304.592,307.581,305.075,299.074,298.418,299.377,298.962,297.284,294.172
2010,292.634,295.31,301.839,305.377,307.438,305.876,299.427,298.782,298.723,300.23,296.778,292.875
2011,290.783,295.516,299.862,304.291,305.858,303.487,298.575,298.452,298.139,299.116,297.993,291.968
2012,290.599,294.05,298.622,304.483,306.282,303.882,299.588,298.421,298.416,299.653,296.156,294.551
2013,292.466,296.628,299.886,303.421,307.395,302.672,298.784,298.184,299.074,298.455,294.794,291.723
2014,292.791,293.839,299.149,303.912,306.126,304.54,300.365,298.818,298.224,299.581,297.1,291.765
2015,292.66,296.342,299.589,303.777,307.144,303.383,299.105,298.277,298.993,300.455,297.221,291.31
2016,291.206,294.932,300.165,302.443,305.986,304.027,298.839,297.685,298.474,297.564,294.762,292.098
2017,292.481,295.342,299.341,302.714,306.34,303.498,298.726,298.444,299.144,299.916,295.418,293.619
2018,292.884,296.151,300.677,303.914,306.173,303.211,299.03,298.42,298.407,299.27,296.203,291.271
2019,291.262,294.99,298.768,304.397,305.564,304.896,299.289,298.47,298.791,298.513,297.924,294.231
2020,292.479,295.326,298.362,304.933,307.277,304.647,300.24,298.997,299.573,299.078,295.711,292.195
2021,293.061,294.9,299.727,303.141,304.046,303.273,300.615,299.427,299.095,298.517,296.282,293.017
2022,290.715,293.785,300.684,304.549,305.727,304.079,298.618,298.422,298.628,298.452,293.82,292.959
2023,291.652,295.025,298.497,301.582,304.539,301.773,299.212,297.985,298.777,298.453,296.556,294.115
