Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,297.735,298.998,300.373,300.733,303.107,300.157,298.863,299.088,299.407,297.822,297.327,297.087
1981,297.8,299.087,301.213,302.993,302.133,299.289,298.68,298.535,297.659,297.897,297.015,296.881
1982,297.704,299.443,301.531,302.99,300.692,300.815,300.176,299.531,299.622,297.649,297.456,297.121
1983,297.985,301.033,302.206,303.778,303.699,301.491,300.153,299.078,298.095,298.537,297.42,296.986
1984,297.971,297.829,300.285,300.759,303.754,300.24,298.239,299.606,298.73,297.975,297.212,296.47
1985,297.769,299.796,300.787,302.665,302.614,299.448,298.921,298.737,298.356,297.983,297.249,297.338
1986,297.267,299.217,301.608,302.003,302.668,301.091,300.188,299.567,299.528,298.685,296.822,297.065
1987,297.642,299.184,301.74,303.653,302.416,301.134,300.713,299.798,299.83,298.149,297.712,297.177
1988,298.115,299.717,302.047,301.152,303.766,301.111,299.775,298.854,298.402,298.947,297.301,297.054
1989,298.527,298.188,300.349,303.311,303.609,299.8,300.029,299.49,298.601,297.814,297.121,296.873
1990,297.346,300.19,301.569,303.414,302.299,300.97,299.476,299.363,299.553,298.397,297.485,296.875
1991,298.343,299.139,301.827,302.506,302.445,299.854,300.057,299.934,298.764,297.927,296.762,297.361
1992,296.822,299.865,300.631,301.783,302.607,300.083,299.943,298.813,298.759,297.846,296.808,296.136
1993,297.117,298.764,300.911,302.253,303.368,300.941,299.175,299.582,300.317,297.538,296.891,296.735
1994,297.409,299.139,300.943,301.551,302.476,300.46,299.984,299.495,299.847,297.696,296.97,297.07
1995,297.6,299.777,301.076,300.96,300.645,301.345,300.276,299.215,300.198,298.028,297.569,297.292
1996,297.825,298.849,301.078,300.312,303.454,301.258,299.73,299.016,299.032,297.809,297.221,296.768
1997,297.571,298.85,301.251,300.539,301.86,301.996,300.374,300.816,300.026,297.824,297.343,297.508
1998,298.846,300.788,301.798,302.249,302.9,301.753,300.012,299.069,299.456,298.147,297.872,297.492
1999,297.822,299.361,301.641,302.561,302.571,301.084,300.268,300.171,300.38,297.355,297.285,296.738
2000,298.25,299.485,301.393,303.181,303.058,300.967,300.604,298.635,299.126,298.09,297.445,296.961
2001,297.695,299.196,301.578,301.202,303.93,301.534,300.397,300.157,299.355,298.465,297.304,296.955
2002,298.3,299.329,301.47,302.241,303.328,301.954,301.288,300.51,300.704,298.305,297.879,298.064
2003,298.227,300.127,301.024,301.754,304.167,302.361,301.512,300.38,300.658,298.364,297.58,297.758
2004,298.595,299.481,301.144,302.625,300.403,299.948,298.924,300.438,299.432,298.032,297.736,297.565
2005,298.693,300.32,301.871,301.57,301.719,300.384,299.358,299.926,298.965,298.37,296.942,296.738
2006,297.26,299.228,301.547,302.916,302.442,301.23,300.432,299.638,298.4,298.358,297.479,297.143
2007,297.779,299.507,301.173,302.372,304.417,301.72,300.597,300.899,299.824,298.959,297.674,297.446
2008,298.249,299.704,300.465,301.421,303.042,301.767,300.562,300.417,299.882,298.808,298.468,297.725
2009,297.599,299.434,301.421,303.412,302.433,300.488,300.327,299.632,299.916,299.733,297.858,297.883
2010,298.618,300.181,302.326,302.421,301.442,300.706,300.016,299.088,298.888,298.251,297.308,296.72
2011,297.134,298.863,300.441,300.066,300.817,300.481,300.009,299.863,300.003,299.209,298.565,298.209
2012,298.16,300.08,301.44,302.197,303.827,300.979,301.297,299.926,300.02,298.393,297.953,298.06
2013,298.506,298.89,301.539,299.659,301.009,299.338,299.636,300.355,299.265,298.84,297.658,296.793
2014,297.112,298.628,300.865,301.176,300.655,301.142,300.786,299.782,299.775,298.294,297.619,297.502
2015,297.476,298.379,301.52,300.305,300.642,300.959,301.702,301.143,300.073,299.295,297.788,297.272
2016,297.456,299.803,301.182,301.643,301.076,300.852,300.185,300.635,300.7,300.048,297.909,297.311
2017,297.16,298.071,300.224,302.597,299.987,300.579,300.646,299.448,298.495,298.247,297.734,296.806
2018,297.416,298.925,300.769,300.447,299.977,299.767,300.444,300.562,300.526,298.267,297.892,297.336
2019,297.46,299.054,302.015,302.207,301.624,300.577,300.399,299.852,299.062,298.151,298.043,297.35
2020,298.148,299.826,301.315,301.801,301.554,300.854,298.753,299.915,298.552,298.907,297.849,296.946
2021,297.398,298.632,301.311,301.634,301.037,300.132,299.269,299.823,300.191,298.424,297.777,297.041
2022,297.978,299.212,301.187,301.326,302.263,302.025,300.185,299.773,299.291,298.827,297.383,297.65
2023,297.659,298.818,300.53,301.308,301.162,301.783,300.765,301.803,299.22,298.701,298.204,297.785
