Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,296.925,299.283,301.957,304.496,307.066,302.405,299.152,299.009,299.399,299.255,297.774,296.524
1981,296.788,298.5,301.514,304.555,306.507,305.421,299.635,298.743,298.655,298.355,297.52,296.481
1982,296.393,299.929,302.034,304.254,306.002,306.457,301.13,299.311,299.439,298.062,297.792,296.278
1983,297.022,299.116,302.744,305.013,307.177,304.804,300.604,299.553,299.449,298.421,296.882,297.243
1984,297.99,298.899,301.461,304.175,307.34,303.875,300.04,299.53,298.892,298.405,297.254,296.053
1985,297.393,299.872,302.009,305.959,307.078,305.007,299.916,299.328,299.563,297.804,297.17,296.841
1986,296.303,298.696,302.508,304.734,307.423,305.22,301.63,300.065,299.868,298.891,297.4,297.305
1987,296.853,297.905,301.26,305.029,305.557,305.351,302.681,300.561,300.564,298.555,297.363,297.301
1988,296.609,299.298,303.172,304.013,307.972,305.931,299.856,299.624,298.982,298.415,297.384,296.82
1989,296.641,297.802,301.176,304.146,307.535,304.102,300.307,299.312,298.936,299.151,297.869,296.402
1990,296.402,299.112,301.69,304.485,305.133,304.956,300.804,299.707,299.237,298.387,297.737,296.65
1991,297.155,299.215,302.189,304.982,306.925,302.944,301.355,299.316,299.51,298.909,296.516,295.984
1992,294.941,299.43,301.926,304.045,306.761,305.918,302.152,299.292,299.905,298.516,297.311,295.591
1993,296.02,297.901,301.787,304.207,307.088,305.531,301.451,301.045,299.508,298.254,297.688,296.757
1994,296.716,298.748,301.882,304.255,307.123,304.296,300.527,299.917,299.357,298.162,296.442,294.366
1995,295.857,299.02,301.922,304.094,305.45,306.924,301.903,299.835,299.84,298.394,296.866,295.173
1996,296.262,297.801,301.931,303.807,307.081,304.877,300.565,299.278,299.084,298.12,297.352,296.038
1997,295.755,298.248,301.642,301.955,306.268,305.343,300.302,300.437,299.346,298.31,297.76,298.021
1998,298.111,300.086,302.312,304.853,307.297,306.676,300.594,299.976,299.514,298.537,297.686,296.138
1999,295.837,298.225,302.447,304.843,306.523,305.511,300.885,299.953,300.273,298.718,297.445,296.196
2000,296.572,298.989,301.913,304.988,306.825,305.017,301.213,299.467,299.517,298.921,297.827,295.775
2001,295.91,299.148,302.024,303.004,307.535,305.0,301.081,300.446,300.163,298.727,297.456,295.946
2002,297.126,297.681,301.551,303.891,308.172,305.101,303.203,300.785,301.256,298.995,297.135,296.26
2003,296.592,299.077,301.366,304.943,307.219,306.486,299.807,299.954,300.219,298.734,297.788,296.562
2004,296.28,298.0,301.294,304.835,306.001,304.807,300.538,299.79,300.026,298.509,297.631,296.155
2005,296.831,299.685,301.812,304.131,305.762,306.058,300.383,300.034,299.369,298.707,297.006,296.388
2006,296.407,298.128,301.957,304.515,306.991,304.172,300.562,300.122,299.583,299.088,297.125,296.187
2007,295.766,298.3,301.522,304.03,307.739,303.396,300.748,300.086,299.247,298.459,297.368,296.964
2008,296.929,298.566,301.354,303.549,307.764,305.785,302.093,299.642,299.712,298.599,298.077,296.709
2009,296.591,299.553,301.948,305.131,307.481,307.152,301.246,300.865,300.806,299.625,298.603,297.074
2010,297.18,298.916,303.263,305.186,307.338,306.62,301.2,299.829,299.937,299.304,297.887,296.192
2011,295.131,297.49,301.352,302.029,306.692,305.664,302.283,300.037,299.626,299.959,298.421,296.315
2012,296.467,299.155,302.16,304.855,307.742,306.812,302.585,301.245,300.496,299.778,297.139,296.3
2013,295.287,296.784,300.958,302.461,307.114,304.353,300.097,299.778,299.878,298.911,296.987,294.688
2014,294.701,296.675,300.238,303.492,306.168,307.252,303.383,301.411,300.952,300.182,296.924,295.431
2015,294.591,297.001,300.768,301.728,306.19,303.947,302.932,300.688,300.032,299.865,297.414,295.955
2016,294.831,298.904,301.444,304.299,305.993,304.092,300.607,300.765,299.495,298.281,296.064,295.148
2017,294.819,296.922,300.919,304.613,306.47,304.794,302.113,300.173,299.82,299.163,297.672,296.278
2018,294.994,296.905,301.334,304.507,305.948,304.832,301.719,300.72,299.882,299.372,297.841,296.625
2019,295.133,298.646,302.347,304.508,306.795,306.428,302.064,299.993,299.353,298.656,298.353,296.919
2020,297.302,298.328,300.596,302.926,305.952,303.331,299.906,299.716,299.388,298.836,297.485,295.427
2021,297.098,297.204,300.821,303.593,305.372,303.717,300.123,300.18,299.539,299.129,297.872,296.257
2022,296.63,297.475,301.885,303.366,306.04,305.365,299.51,299.806,299.46,298.057,296.721,296.723
2023,296.182,297.761,299.669,302.145,304.949,306.137,300.11,300.009,299.508,299.393,298.71,296.417
