Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,296.235,298.666,302.386,305.422,307.065,300.531,298.306,298.05,298.169,297.434,296.22,295.013
1981,294.781,298.192,301.714,304.815,306.265,306.776,298.918,298.087,298.095,297.679,296.286,295.169
1982,296.07,299.24,301.949,304.689,306.27,306.084,299.965,297.903,298.235,297.034,296.361,295.267
1983,296.171,297.314,302.212,304.709,306.873,304.918,299.503,298.561,298.217,297.475,295.635,295.794
1984,296.54,297.644,302.254,304.332,307.31,303.017,298.604,297.889,297.57,297.362,295.676,294.831
1985,296.124,298.633,302.874,305.522,306.817,305.676,299.363,298.12,298.092,296.377,295.69,295.377
1986,295.246,297.423,302.417,305.075,306.976,305.32,300.231,298.336,298.381,297.365,295.915,295.674
1987,295.765,297.932,301.913,305.289,305.853,305.41,302.009,299.112,298.801,297.547,295.822,295.736
1988,296.33,298.504,302.58,304.684,307.022,305.8,298.888,298.732,298.504,297.075,296.034,295.681
1989,294.976,297.555,301.624,304.673,307.014,303.834,298.72,298.081,298.265,297.529,296.629,295.103
1990,294.925,298.695,301.582,304.704,304.822,305.502,299.019,298.579,298.083,297.169,296.128,294.928
1991,295.479,299.321,302.626,305.071,306.875,302.157,300.068,298.0,298.427,296.978,295.222,294.764
1992,294.482,298.101,302.561,304.817,306.651,305.169,300.119,298.01,298.045,297.137,296.239,294.529
1993,294.489,297.672,301.205,304.862,306.829,305.298,299.449,298.825,298.105,297.093,296.054,294.597
1994,295.529,297.784,302.359,304.573,306.661,303.474,298.458,297.885,297.877,296.969,295.125,293.05
1995,294.327,298.443,302.476,305.146,304.766,306.246,300.428,298.762,298.499,297.137,295.077,294.048
1996,295.551,297.732,302.739,304.399,306.816,304.177,299.724,298.216,298.387,297.059,295.421,294.011
1997,294.133,296.103,302.785,303.418,306.748,305.289,298.908,298.858,298.492,297.043,297.03,296.444
1998,296.366,298.26,302.072,305.221,307.539,306.467,299.432,298.755,298.619,297.628,295.935,294.069
1999,294.601,298.484,302.804,305.692,306.989,304.642,299.426,298.409,297.993,297.15,295.055,294.643
2000,295.118,297.212,301.673,305.232,306.867,303.58,299.178,298.281,298.145,297.649,296.324,293.255
2001,294.518,298.496,301.81,304.169,307.658,302.919,299.496,298.412,298.718,297.754,296.387,294.466
2002,295.718,298.046,302.345,304.652,308.161,305.599,302.227,298.43,298.752,297.547,295.302,294.99
2003,295.44,298.447,301.354,305.58,307.09,305.898,298.481,298.365,298.145,297.371,295.812,294.436
2004,295.431,297.349,302.119,305.107,307.0,303.408,299.077,298.209,298.455,297.221,295.955,294.765
2005,295.712,299.653,302.333,304.918,306.15,305.669,298.884,298.738,298.544,297.58,294.904,294.471
2006,295.525,299.143,301.399,304.445,306.076,304.009,299.253,298.332,298.508,297.833,295.711,294.621
2007,294.33,297.782,301.252,304.979,307.808,303.084,299.492,298.746,298.597,297.164,296.192,294.828
2008,294.927,297.034,302.591,303.438,307.723,304.461,299.379,298.572,298.245,297.633,297.096,295.334
2009,296.225,299.356,302.424,305.7,306.675,307.543,298.921,299.443,299.08,297.926,296.62,294.838
2010,295.119,298.189,303.924,305.607,306.581,305.479,299.235,298.747,298.898,297.985,296.91,294.292
2011,293.704,296.877,301.839,301.859,306.683,306.071,299.684,298.719,298.532,298.323,296.382,293.971
2012,294.859,297.42,301.87,305.247,307.594,306.828,300.269,298.961,298.484,297.562,295.395,293.857
2013,294.157,296.355,301.236,303.223,307.359,302.326,298.414,297.999,298.629,297.549,295.076,292.712
2014,293.946,295.98,300.933,304.355,305.727,307.288,301.94,299.362,298.15,297.771,294.473,292.673
2015,293.089,296.488,300.583,303.048,306.223,303.061,300.9,298.718,298.72,298.62,295.926,294.598
2016,294.052,299.183,301.727,304.752,305.884,303.804,298.844,299.06,298.259,296.904,294.33,292.862
2017,293.385,297.325,301.135,304.669,306.362,304.078,299.91,298.677,298.529,297.914,295.808,293.953
2018,293.341,296.626,301.86,304.272,305.272,304.533,299.452,298.695,298.593,297.781,296.491,294.741
2019,293.986,296.84,301.945,305.02,306.191,305.589,299.777,298.569,298.433,297.808,296.33,294.66
2020,294.95,296.965,300.378,303.454,305.944,302.843,299.416,298.637,298.758,297.886,296.708,294.419
2021,296.207,296.746,302.109,304.164,305.42,303.723,299.183,299.066,298.56,298.122,296.462,294.22
2022,294.203,295.746,301.895,304.289,304.976,303.907,298.505,298.502,298.553,296.873,294.87,295.435
2023,295.925,297.417,300.163,302.976,305.379,304.993,298.789,298.441,298.439,297.834,296.867,294.227
